id,case_family,live_vars_syntactic,identity_dag_nodes,structural_dag_nodes,unfolded_occurrences,sharing_factor,max_depth,packed_equal_all_arms,cm_flat_instructions,cm_executed_word_ops,cse_flat_instructions,cse_executed_word_ops,cse_flat_flat_instructions,cse_flat_executed_word_ops,cm_prep_us,cm_lower_us,cse_prep_us,cse_flat_prep_us,prep_ratio_cm_vs_cse,raw_prep_us,raw_arm
chain_and_L16,nary_chain,16,31,31,31,1.0,16,True,1,15,15,15,1,15,370.09999505244195,21.69999061152339,63.89999180100858,60.30002259649336,5.7918629505457995,27.20000338740647,ok
chain_and_L32,nary_chain,16,63,47,63,1.3404255319148937,32,True,1,15,31,31,1,31,785.1000118535012,21.700019715353847,113.09998808428645,105.19998613744974,6.941645398480631,46.89997876994312,ok
chain_and_L64,nary_chain,16,127,79,127,1.6075949367088607,64,True,1,15,63,63,1,63,1589.0000213403255,21.3000166695565,211.80001203902066,205.69999469444156,7.502360391970036,87.39999611862004,ok
chain_and_L128,nary_chain,16,255,143,255,1.7832167832167831,128,True,1,15,127,127,1,127,3393.6999971047044,22.099993657320738,410.2999810129404,422.19998431392014,8.271265303806267,192.5000105984509,ok
chain_and_L256,nary_chain,16,511,271,511,1.8856088560885609,256,True,1,15,255,255,1,255,6904.700014274567,22.500025806948543,796.5999830048531,955.6000004522502,8.667712982153681,374.399998690933,ok
tree_s11_d6,unshared_tree,9,52,37,52,1.4054054054054055,7,True,25,34,28,34,25,34,411.0000154469162,54.00000372901559,100.30000703409314,108.70001278817654,4.097706745994669,42.70000499673188,ok
tree_s12_d7,unshared_tree,12,116,71,116,1.6338028169014085,8,True,45,61,59,74,55,74,780.1000028848648,90.19998833537102,200.70001482963562,219.49998335912824,3.886895591647332,83.69999704882503,ok
tree_s13_d8,unshared_tree,12,206,120,206,1.7166666666666666,9,True,99,149,108,149,99,149,1458.0000133719295,190.29999384656549,352.49997745268047,403.4999874420464,4.136170515266632,146.7999827582389,ok
tree_s14_d9,unshared_tree,12,234,138,234,1.6956521739130435,10,True,88,142,126,168,109,168,1501.3999945949763,168.70000399649143,390.5000048689544,420.100026531145,3.844814278808581,212.7000188920647,ok
tree_s15_d10,unshared_tree,12,1030,511,1030,2.015655577299413,11,True,421,626,499,690,461,690,6051.900010788813,752.799998736009,1662.7000004518777,1833.9999951422215,3.639802735998116,707.4999739415944,ok
tree_s16_d11,unshared_tree,12,1232,615,1232,2.0032520325203254,12,True,467,715,603,809,532,809,7545.200001914054,826.900009997189,2004.200010560453,2157.499984605238,3.764694123419409,807.7000093180686,ok
mixed_dag_s50,mixed_shared_dag,11,38,37,85,2.2972972972972974,12,True,18,27,26,31,22,31,367.00000055134296,44.49998959898949,83.99999933317304,91.80000051856041,4.3690476602945445,59.89999044686556,ok
mixed_dag_s150,mixed_shared_dag,15,76,75,225,3.0,14,True,44,70,60,78,49,78,803.3000049181283,89.80001439340413,174.09998690709472,182.4999926611781,4.6140153091843406,151.9000215921551,ok
mixed_dag_s400,mixed_shared_dag,13,88,88,309,3.5113636363636362,16,True,61,93,75,101,67,101,932.5999999418855,120.79998850822449,209.59999528713524,223.0999816674739,4.449427580684332,202.80000171624124,ok
mixed_dag_s1000,mixed_shared_dag,14,127,124,432,3.4838709677419355,18,True,90,139,110,153,101,153,1315.9000081941485,166.10001330263913,295.0999769382179,318.6000103596598,4.459166760523487,280.0000074785203,ok
mixed_dag_s2500,mixed_shared_dag,16,220,216,1174,5.435185185185185,23,True,153,248,200,273,173,273,2552.79999691993,283.0000012181699,522.0999883022159,562.5999765470624,4.889484876682759,814.5000028889626,ok
mult8_seq_bit7,multiplier_bit,16,199,145,16507,113.84137931034483,25,True,110,129,129,129,110,129,2147.299994248897,213.0000211764127,374.399998690933,414.6999854128808,5.735309833752141,13295.499986270443,ok
