n,trial,live_k,repr,output_k,reps,ok,cm_us,bitset_us,ratio
16,29,6,2,16,40,True,94.12750077899545,96.42499790061265,0.976173220931928
16,30,5,2,16,40,True,88.3650005562231,84.37500218860805,1.0472888683154755
16,31,11,1,16,10,True,1158.910000231117,88.2500084117055,13.132123396799575
16,32,3,2,16,200,True,7.311499794013798,25.899999891407788,0.2822972905277639
16,33,3,2,16,40,True,19.39249923452735,33.38499809615314,0.5808746544982398
16,34,8,1,16,40,True,635.0874988129362,68.042500060983,9.333688477697613
16,35,5,2,16,200,True,27.289999998174608,34.072999842464924,0.8009274241877372
16,36,3,2,16,40,True,40.75750184711069,35.47249943949282,1.1489887234090383
16,37,7,2,16,200,True,82.24949997384101,78.87399988248944,1.0427961064023703
16,38,3,2,16,40,True,60.217498685233295,54.19999943114817,1.1110239726428286
16,39,5,2,16,40,True,54.70000032801181,59.797498397529125,0.9147539912852283
16,40,4,2,16,200,True,27.07949955947697,40.26849986985326,0.6724735127207919
16,41,1,2,16,200,True,4.36500005889684,23.7574998755008,0.18373145666721075
16,42,1,2,16,200,True,7.963500102050603,25.378999998793006,0.313783053013489
16,43,8,1,16,40,True,530.152500141412,59.219999820925295,8.952254335436244
16,44,5,2,16,200,True,29.358500032685697,27.153000119142234,1.0812249071508175
16,45,3,2,16,200,True,36.48350015282631,35.287499777041376,1.0338930324716027
16,46,7,2,16,40,True,81.0975005151704,73.29999934881926,1.106377915902079
16,47,5,2,16,200,True,61.75899994559586,43.11450000386685,1.4324415206034355
16,48,6,2,16,200,True,36.113999667577446,28.062000055797398,1.2869360557255278
16,49,9,1,16,10,True,478.91000285744667,41.08999855816364,11.65514771628772
16,50,7,2,16,200,True,49.12499978672713,33.332500024698675,1.473786837180726
16,51,4,2,16,200,True,32.97399962320924,34.716500085778534,0.9498077151134511
16,52,7,2,16,40,True,70.19999902695417,64.82749886345118,1.0828737843923195
16,53,8,1,16,40,True,518.1674991035834,51.7700013006106,10.00903005767303
16,54,6,2,16,40,True,94.44250026717782,82.78500172309577,1.1408165525329665
16,55,5,2,16,200,True,53.099499782547355,41.430999990552664,1.2816369335679905
16,56,3,2,16,40,True,28.420001035556197,37.8400000045076,0.7510571097296704
16,57,11,1,16,10,True,966.8199927546084,136.7500051856041,7.0699813973856225
16,58,4,2,16,40,True,32.15500037185848,27.06749946810305,1.1879560729187657
16,59,4,2,16,40,True,33.190002432093024,40.42249929625541,0.8210774447380007
16,60,9,1,16,10,True,748.2699933461845,54.269994143396616,13.78791365573109
16,61,4,2,16,40,True,57.810000726021826,30.30749794561416,1.9074488045750273
16,62,5,2,16,40,True,30.792501638643444,58.7500020628795,0.5241276690626591
16,63,0,2,16,200,True,3.1789997592568398,55.855000391602516,0.056915222217683206
16,64,6,2,16,200,True,48.72300021816045,98.53199997451156,0.49448910232984417
16,65,4,2,16,40,True,53.989997832104564,63.19499807432294,0.8543397337967717
16,66,5,2,16,200,True,36.06449987273663,56.273999507538974,0.6408732307698355
16,67,6,2,16,40,True,62.03250086400658,62.757500563748174,0.9884476007930694
16,68,4,2,16,200,True,37.2555002104491,37.80799976084381,0.9853867024468479
16,69,5,2,16,200,True,49.64149964507669,38.77350012771785,1.2802945176876017
16,70,5,2,16,40,True,51.3850012794137,41.26999992877245,1.2450933212526931
16,71,6,2,16,40,True,88.38499779812992,79.27999831736088,1.1148461109234813
16,72,8,1,16,10,True,850.1300006173551,87.9799947142601,9.66276485215068
16,73,5,2,16,200,True,53.16400027368218,48.99499996099621,1.0850903217880357
16,74,4,2,16,40,True,73.63749900832772,57.180001749657094,1.287819110791988
16,75,5,2,16,40,True,28.552499134093523,28.40750094037503,1.005104222086372
16,76,7,2,16,200,True,75.03100030589849,62.66300042625516,1.197373247299235
16,77,3,2,16,200,True,24.65949975885451,22.537499899044633,1.0941541816667886
16,78,7,2,16,40,True,96.09500120859593,77.44499889668077,1.2408160962955928
16,79,2,2,16,200,True,18.518500146456063,15.86149970535189,1.167512561262266
16,80,4,2,16,40,True,138.9650016790256,94.13750085514039,1.476191745230906
16,81,8,1,16,10,True,1537.8199983388186,94.59999855607748,16.25602560054186
16,82,9,1,16,10,True,1013.5899996384979,100.49999691545963,10.085472942761655
16,83,7,2,16,40,True,58.23499814141542,102.11250046268106,0.570302341804846
16,84,6,2,16,40,True,44.23999926075339,44.00750040076673,1.0052831644121876
16,85,5,2,16,40,True,46.05750145856291,41.05249827262014,1.1219171401629615
16,86,8,1,16,10,True,621.100002899766,82.77000160887837,7.503926432606754
16,87,3,2,16,200,True,26.17449965327978,51.61600012797862,0.5071005034946868
16,88,6,2,16,40,True,49.867501365952194,56.28750077448785,0.8859427169407119
16,89,3,2,16,200,True,32.298999722115695,44.49000000022352,0.725983360799133
16,90,7,2,16,40,True,140.24499978404492,143.1049982784316,0.9800146848202875
16,91,5,2,16,40,True,58.902500313706696,75.34250034950674,0.7817964633568513
16,92,4,2,16,40,True,47.34499962069094,62.310000066645436,0.7598298759436968
16,93,9,1,16,10,True,716.5599963627756,112.54999553784728,6.366592845592938
16,94,8,1,16,10,True,732.2499994188547,173.8299964927137,4.212449026020362
16,95,5,2,16,40,True,88.41499802656472,83.16249877680093,1.0631594688353572
16,96,9,1,16,10,True,881.8300091661513,117.54999868571758,7.501744100600269
16,97,4,2,16,200,True,58.68149979505688,71.87400013208389,0.8164496158168049
16,98,9,1,16,10,True,673.8699972629547,65.81000052392483,10.239629112568892
16,99,6,2,16,40,True,82.0550019852817,76.80999988224357,1.068285406992308
16,100,7,2,16,40,True,90.08500201161951,152.97000063583255,0.5889063322035281
16,101,2,2,16,40,True,32.809999538585544,55.45000021811575,0.5917042274035264
16,102,4,2,16,40,True,120.76249986421317,60.170001233927906,2.007021728231561
16,103,5,2,16,200,True,30.349500011652708,29.878499917685986,1.015763846754834
16,104,7,2,16,40,True,102.51250059809536,102.9075006954372,0.9961616005182083
16,105,4,2,16,200,True,34.229999873787165,45.31599988695234,0.7553623435250046
16,106,4,2,16,200,True,41.44200007431209,35.07549990899861,1.1815084655052959
16,107,4,2,16,200,True,36.77500004414469,48.98150044027716,0.7507936611493603
16,108,5,2,16,200,True,60.202000313438475,43.181999935768545,1.3941457181924526
16,109,7,2,16,40,True,59.449998661875725,70.53249864839017,0.8428738496595513
16,110,3,2,16,200,True,28.518500039353967,51.3230002252385,0.55566704818885
16,111,5,2,16,200,True,26.874499744735658,17.837999621406198,1.5065870789954137
16,112,7,2,16,40,True,64.14000235963613,114.69750024843961,0.5592101154838265
16,113,5,2,16,40,True,62.76500062085688,56.607500300742686,1.108775344033932
16,114,6,2,16,40,True,86.28500218037516,67.6800002111122,1.2748966003432172
16,115,5,2,16,200,True,50.78800022602081,36.52449988294393,1.3905187035767628
16,116,9,1,16,10,True,550.8900037966669,54.429995361715555,10.121073869944633
16,117,4,2,16,40,True,55.73750240728259,59.852501726709306,0.9312476638283879
16,118,4,2,16,200,True,25.590999866835773,27.642499771900475,0.9257845736820763
16,119,6,2,16,200,True,48.78550011198968,57.76299978606403,0.8445804458334196
16,120,2,2,16,200,True,13.907499960623682,9.581500198692083,1.4514950344124729
16,121,6,2,16,200,True,42.51600010320544,43.36800018791109,0.9803541763278458
16,122,5,2,16,200,True,65.15199958812445,60.04850030876696,1.0849896209416638
16,123,9,1,16,40,True,785.797499702312,115.04249996505678,6.8304974243517975
16,124,3,2,16,200,True,50.612500053830445,40.72349984198809,1.2428327685540985
16,125,8,1,16,10,True,779.2499964125454,120.22999580949545,6.481327651772257
16,126,5,2,16,40,True,36.812498001381755,46.78250115830451,0.7868860597430253
16,127,3,2,16,200,True,9.722999529913068,23.41400017030537,0.4152643486457384
16,128,5,2,16,200,True,27.55099965725094,22.561000077985227,1.2211781198536007
