n,trial,live_k,output_k,repr_t7,repr_t16,reps,rounds,ok_t7,ok_t16,threshold7_us,threshold16_us,bitset_us,t7_over_bitset,t16_over_bitset,t16_over_t7
16,94,8,16,1,2,30,5,True,True,538.1633333551387,92.60999892527859,113.17666697626312,4.7550731765939815,0.8182781963768376,0.17208530047543102
16,95,5,16,2,2,100,5,True,True,56.06199963949621,57.85999936051667,49.17599959298968,1.1400276578717103,1.1765902033390478,1.0320716302055297
16,96,9,16,1,2,7,5,True,True,753.2571409163731,97.8571396054966,69.79999930730887,10.791649690424832,1.4019647647080968,0.1299119972317139
16,97,4,16,2,2,100,5,True,True,45.17399938777089,45.624999329447746,48.68500051088631,0.9278833093093973,0.9371469415769169,1.009983617740052
16,98,9,16,1,2,7,5,True,True,599.5428655296564,40.55715232555356,33.371433216546265,17.965751175241415,1.2153254570272536,0.06764679334433243
16,99,6,16,2,2,100,5,True,True,27.55899913609028,35.08999943733215,50.02100020647049,0.5509485820422554,0.7015053536013275,1.2732682803193511
16,100,7,16,2,2,100,5,True,True,56.71899998560548,49.43499923683703,83.09300057590008,0.6825966037150908,0.5949357815244782,0.8715774123200862
16,101,2,16,2,2,100,5,True,True,15.485999174416065,19.679999677464366,36.42600029706955,0.4251358658134614,0.540273417805018,1.2708253084487489
16,102,4,16,2,2,30,5,True,True,32.06333300719659,28.763335042943556,25.773335558672745,1.2440505783275404,1.116011351245713,0.8970787608539527
16,103,5,16,2,2,100,5,True,True,30.80699942074716,31.397000420838594,26.140999980270863,1.1784935329175557,1.2010634805299927,1.019151524367352
16,104,7,16,2,2,30,5,True,True,65.94333487252395,54.3400024374326,63.98000211144487,1.0306866629616425,0.8493279250410052,0.8240408608766614
16,105,4,16,2,2,100,5,True,True,28.907000087201595,20.294999703764915,51.757999463006854,0.5585030408268075,0.39211329483996804,0.7020790688256305
16,106,4,16,2,2,100,5,True,True,19.453000277280807,22.31599995866418,18.343999981880188,1.0604557510082897,1.216528564146721,1.147175224416517
16,107,4,16,2,2,30,5,True,True,37.23333356902003,35.776663571596146,38.366667771091066,0.9704604473645483,0.9324933764134068,0.9608772608360829
16,108,5,16,2,2,100,5,True,True,63.66700050421059,57.543000439181924,62.7030001487583,1.015374070669111,0.9177072915596598,0.9038120216669598
16,109,7,16,2,2,30,5,True,True,52.00333350027601,71.86333338419597,48.06333454325795,1.0819751478847557,1.4951799342910248,1.3818985927856828
16,110,3,16,2,2,100,5,True,True,26.04199922643602,29.616999672725797,36.43700038082898,0.7147130376884097,0.8128276027987346,1.1372782640535788
16,111,5,16,2,2,100,5,True,True,23.101000115275383,19.234000938013196,15.559999737888575,1.484640135245278,1.2361183330343146,0.832604685599514
16,112,7,16,2,2,30,5,True,True,72.79333270465334,65.66333274046579,90.84000096966822,0.8013356663102554,0.7228460154067039,0.9020514695608687
16,113,5,16,2,2,100,5,True,True,54.97699952684343,56.90800026059151,52.83300066366792,1.0405806756429394,1.0771298155647986,1.0351237926836157
16,114,6,16,2,2,30,5,True,True,53.97666633750001,64.303334026287,53.79666496689121,1.0033459577971904,1.1953033532071562,1.1913172559456973
16,115,5,16,2,2,100,5,True,True,28.35799939930439,32.342999475076795,27.058999985456467,1.0480061870189623,1.1952769685672178,1.1405247253044992
16,116,9,16,1,2,7,5,True,True,448.51427498672695,55.971438996493816,49.90001408649343,8.988259486446267,1.1216718075364984,0.12479299348532485
16,117,4,16,2,2,30,5,True,True,33.79999737565716,33.86666843046745,39.83666732286413,0.8484644837811962,0.8501380940325242,1.001972516567658
16,118,4,16,2,2,100,5,True,True,27.09600026719272,20.018999930471182,16.70600031502545,1.621932225322806,1.1983119569599199,0.7388175277924607
16,119,6,16,2,2,100,5,True,True,41.87099984847009,42.501999996602535,40.25100031867623,1.040247435267893,1.055924067976066,1.0150700998403672
16,120,2,16,2,2,100,5,True,True,10.960999643430114,11.421999661251903,7.870999397709965,1.392580419535945,1.4511498583744127,1.0420582093621458
16,121,6,16,2,2,30,5,True,True,32.463332172483206,39.723333126554884,33.063332860668496,0.9818529883023669,1.2014316068483524,1.2236369610949998
16,122,5,16,2,2,100,5,True,True,54.718999890610576,64.59700060077012,59.70299942418933,0.9165201148745061,1.0819724506939583,1.1805223182058657
16,123,9,16,1,2,7,5,True,True,545.2999944931694,96.2285724069391,103.95713616162539,5.245431094267301,0.9256562460255691,0.17646905075870944
16,124,3,16,2,2,100,5,True,True,59.597999788820744,54.19500055722892,54.10599987953901,1.1015044527688067,1.0016449317615064,0.9093426079610594
16,125,8,16,1,2,7,5,True,True,763.1571331460561,120.89998926967382,58.614283001848634,13.019985813389322,2.0626370071926114,0.158420833690269
16,126,5,16,2,2,30,5,True,True,46.05333476016919,29.8500022230049,31.156667197744053,1.4781213429497926,0.9580614650968264,0.6481615800126964
16,127,3,16,2,2,100,5,True,True,11.665999190881848,11.72299962490797,20.475999917834997,0.5697401464003979,0.5725239144339421,1.0048860310285872
16,128,5,16,2,2,30,5,True,True,18.209998961538076,18.123331634948652,14.55333549529314,1.2512594770750374,1.2453043249645501,0.9952406737214825
16,129,4,16,2,2,100,5,True,True,27.683000080287457,27.314000762999058,22.652000188827515,1.2220995872117884,1.205809665164622,0.9866705445140262
16,130,4,16,2,2,100,5,True,True,35.08899942971766,24.123999755829573,20.38200036622584,1.7215679913273956,1.1835933334494706,0.6875089101400371
16,131,7,16,2,2,30,5,True,True,70.69666559497514,97.46666764840484,62.086666002869606,1.1386771129199882,1.5698486313293096,1.378660037614736
16,132,2,16,2,2,100,5,True,True,44.6560001000762,31.348000047728423,35.15099990181625,1.270404831293827,0.8918096251967124,0.7019885340710337
16,133,4,16,2,2,100,5,True,True,14.852999011054635,18.650999991223216,14.915000647306442,0.995843001437415,1.2504860329718774,1.2557060010131182
16,134,7,16,2,2,30,5,True,True,52.39666594813268,42.736666121830545,65.17999960730474,0.8038764385365319,0.6556714694585705,0.8156371278305276
16,135,1,16,2,2,100,5,True,True,13.233000645413995,10.77700057066977,27.114000404253602,0.4880504701673613,0.3974699568485324,0.8144033888795001
16,136,6,16,2,2,100,5,True,True,34.86399888060987,44.68100029043853,49.44699932821095,0.7050781514404039,0.9036139886641559,1.2815799026223733
16,137,7,16,2,2,30,5,True,True,50.719998156030975,42.87000047042966,44.436667424937085,1.1413996839818774,0.964743824294343,0.8452287466286531
16,138,5,16,2,2,100,5,True,True,16.77200081758201,19.570000004023314,16.371000092476606,1.024494577169399,1.1954065050074019,1.1668256051781354
16,139,6,16,2,2,30,5,True,True,67.13666953146458,63.436668521414205,54.91333625589808,1.2225931642289103,1.1552142493363924,0.9448885231294306
