seed_base,trial,n,live_k,output_k,repr,reps,rounds,ok,cm_us,bitset_us,ratio
13700000,30,24,5,5,3,150,5,True,6.424666692813237,8.023999786625305,0.8006813140152502
13700000,31,24,5,5,3,150,5,True,6.424000021070242,7.747333341588577,0.829188539827694
13700000,32,24,2,2,3,150,5,True,3.405999547491471,3.952666496237119,0.8616966674860964
13700000,33,24,5,5,3,150,5,True,4.739332944154739,6.255999517937501,0.7575660660723994
13700000,34,24,6,6,3,150,5,True,4.841333720833063,4.302666833003362,1.1251937249005401
13700000,35,24,6,6,3,150,5,True,5.995333194732666,4.760666439930597,1.2593474611970648
13700000,36,24,3,3,3,150,5,True,7.5333332642912865,6.027333438396454,1.2498617077165548
13700000,37,24,6,6,3,150,5,True,9.8619998122255,7.7640001351634655,1.2702214889925247
13700000,38,24,7,7,3,150,5,True,5.637333573152621,7.617333127806584,0.7400665664173066
13700000,39,24,9,9,3,150,5,True,10.348000408460697,9.132666358103355,1.1330754899722122
13700000,40,24,1,1,3,150,5,True,3.646000598867734,4.831332868585984,0.7546572960382321
13700000,41,24,6,6,3,150,5,True,5.640000260124603,4.386000024775663,1.2859097647663784
13700000,42,24,9,9,3,150,5,True,7.811333828916152,5.528666855146487,1.4128783725944332
13700000,43,24,10,10,3,150,5,True,8.186000244071087,6.823999962459008,1.1995897258360015
13700000,44,24,7,7,3,150,5,True,8.527999743819237,5.095333326607943,1.6736882942055693
13700000,45,24,3,3,3,150,5,True,3.903333563357591,4.21933364123106,0.925106638928589
13700000,46,24,8,8,3,150,5,True,9.832666255533695,6.507333212842544,1.511013180657238
13700000,47,24,9,9,3,150,5,True,9.28800009811918,9.780666635682186,0.9496285318870146
13700000,48,24,12,12,3,150,5,True,12.433333322405815,10.873999757071337,1.1434001839406376
13700000,49,24,4,4,3,150,5,True,5.1680005465944605,6.980000374217828,0.7404011847454351
13700000,50,24,6,6,3,150,5,True,4.661999798069397,4.934000317007303,0.9448722129181202
13700000,51,24,8,8,3,150,5,True,7.053333489845197,5.052000439415376,1.396146650110232
13700000,52,24,6,6,3,150,5,True,5.47999981790781,6.1620003543794155,0.8893215681192068
13700000,53,24,11,11,3,150,5,True,9.958666438857714,9.612000236908596,1.036065979338824
13700000,54,24,4,4,3,150,5,True,4.858666410048802,4.6659998285273705,1.0412915963570104
13700000,55,24,2,2,3,150,5,True,3.709333638350169,4.361333170284827,0.8505045346278652
13700000,56,24,6,6,3,150,5,True,5.492666581024726,5.368666412929693,1.0230970148930087
13700000,57,24,6,6,3,150,5,True,8.576666781057915,5.138666989902655,1.6690450651717341
13700000,58,24,7,7,3,150,5,True,6.497999808440606,5.045999617626269,1.2877527350066238
13700000,59,24,7,7,3,150,5,True,5.78000055005153,4.944666288793087,1.1689364281572852
13700000,60,24,5,5,3,150,5,True,6.028666781882445,5.291333266844352,1.139347396554711
