id,family,live_k,tree_occurrences,cm_old_flat_instructions,cm_new_flat_instructions,cm_old_executed_word_ops,cm_new_executed_word_ops,cse_executed_word_ops,cm_old_prep_us,cm_new_prep_us,cse_prep_us,cm_old_kernel_us,cm_new_kernel_us,cse_kernel_us,cm_old_peak_live_word_buffers,cm_new_peak_live_word_buffers,cm_new_wrapper_overhead_us,breakeven_evals_vs_cse,packed_equal_all_arms
random_trees_depth4-tree_d4_s12-41a9ce9a9bfa,random_trees_depth4,6,17,7,7,11,11,13,69.90000838413835,114.5999995060265,37.59999526664615,12.208000116515905,12.17099983477965,14.347999822348356,3,3,18.941000162158158,36,True
random_trees_depth4-tree_d4_s13-892f78ae99bc,random_trees_depth4,8,26,10,10,15,15,15,149.10000027157366,206.89997472800314,51.19998240843415,14.252000255510211,14.301999763119966,15.495999832637608,4,4,21.826000593136996,131,True
random_trees_depth4-tree_d4_s14-e814a7075353,random_trees_depth4,3,8,4,4,6,6,6,36.500015994533896,57.199998991563916,19.60000372491777,5.759999912697822,6.122000049799681,5.714999861083925,2,2,14.027999714016914,,True
random_trees_depth4-tree_d4_s15-c175d207c28b,random_trees_depth4,5,12,4,4,5,5,6,58.600009651854634,87.69999840296805,25.100016500800848,5.5309999152086675,5.520999839063734,6.6930000321008265,2,2,15.79100004164502,54,True
random_trees_depth4-tree_d4_s16-3ab7844402f2,random_trees_depth4,7,25,7,7,10,10,16,110.49999739043415,171.69999773614109,47.59998410008848,9.355999936815351,9.57000011112541,15.130999963730574,4,4,18.65199999883771,23,True
random_trees_depth4-tree_d4_s17-40fbab01aecb,random_trees_depth4,5,16,6,6,10,10,10,85.10000770911574,122.90000449866056,33.59999391250312,9.390999912284315,9.414000087417662,10.303999879397452,4,4,17.24999980069697,101,True
random_trees_depth4-tree_d4_s18-01f64cec1731,random_trees_depth4,6,22,6,6,10,10,14,109.59999053739011,157.00000221841037,45.09999416768551,12.408000184223056,12.4460001825355,15.731000166852029,4,4,19.380000012461096,35,True
random_trees_depth4-tree_d4_s19-ed2a70cf8f44,random_trees_depth4,5,15,7,7,9,9,9,81.6000101622194,116.90001701936126,32.60001540184021,8.651999814901501,9.108999802265316,8.856999920681119,3,3,19.55300074769184,,True
random_trees_depth4-tree_d4_s20-872cd4ad0425,random_trees_depth4,6,20,10,10,12,12,12,105.79999070614576,157.29997539892793,41.799998143687844,13.987999991513789,13.988999999128282,13.482000213116407,4,4,20.591000211425126,,True
random_trees_depth4-tree_d4_s21-10f265aa226d,random_trees_depth4,7,18,10,10,15,15,15,73.7000082153827,114.40002708695829,39.300008211284876,12.432000075932592,12.543000048026443,12.459999998100102,5,5,18.720999942161146,,True
random_trees_depth4-tree_d4_s22-a8f976814edd,random_trees_depth4,8,24,10,10,17,17,17,114.2999972216785,170.29998707585037,49.19999628327787,13.799000007566065,13.652000052388757,14.441999956034124,4,4,20.417999767232686,154,True
random_trees_depth4-tree_d4_s23-81f1f5ed3912,random_trees_depth4,7,23,11,11,16,16,16,115.00000255182385,167.09999181330204,48.79999323748052,13.353000103961676,13.749999925494194,13.278999831527472,4,4,19.253999926149845,,True
random_trees_depth4-tree_d4_s24-5dfa422bc6b2,random_trees_depth4,8,23,8,8,12,12,13,124.6000174432993,169.60001084953547,44.50001870281994,11.414999898988754,11.84600027045235,12.666000111494213,4,4,19.599999941419814,153,True
high_sharing_dags-ladder_d4-f6b6c1fb63a2,high_sharing_dags,10,123,13,13,13,13,13,530.2999925334007,224.6999938506633,49.80000085197389,13.611000031232834,14.161999861244112,13.546999834943563,3,3,24.278000055346638,,True
high_sharing_dags-ladder_d6-bf023caf99f3,high_sharing_dags,14,507,19,19,19,19,19,1973.2000073418021,341.1000070627779,69.20000305399299,25.315999810118228,25.234000058844686,25.15500003937632,3,3,27.285999967716634,,True
high_sharing_dags-ladder_d8-4ee9f9098638,high_sharing_dags,16,2043,25,25,25,25,25,7717.000000411645,524.0000027697533,93.90001650899649,52.19999991822988,50.38100003730506,53.40500007150695,3,3,29.52700015157461,143,True
