n,trial,live_k,repr,output_k,reps,ok,cm_us,bitset_us,ratio
22,77,1,3,1,200,True,2.7934997342526913,4.218500107526779,0.6622021247003034
22,78,7,3,7,200,True,5.671500111930072,4.780500312335789,1.1863821234976415
22,79,7,3,7,200,True,5.992000224068761,4.954499891027808,1.2094056627026635
22,80,5,3,5,200,True,6.135499570518732,5.659499438479543,1.0841064014960076
22,81,6,3,6,200,True,6.616499740630388,5.39999979082495,1.2252777772088757
22,82,7,3,7,200,True,8.836500346660614,5.98000013269484,1.4776756104649975
22,83,3,3,3,200,True,3.25299974065274,4.105500411242247,0.7923515807585667
22,84,8,3,8,200,True,6.670999573543668,6.194500019773841,1.0769230046410143
22,85,4,3,4,200,True,4.617500235326588,4.485999816097319,1.029313514181922
22,86,10,3,10,200,True,7.485999958589673,6.32750045042485,1.1830895971073438
22,87,3,3,3,200,True,4.084999673068523,4.348999937064946,0.9392963283934672
22,88,8,3,8,200,True,5.407500430010259,4.319999716244638,1.2517362928697093
22,89,6,3,6,200,True,6.2959996284917,4.707500338554382,1.3374400798078596
22,90,3,3,3,200,True,4.892500001005828,3.6954996176064014,1.32390759227699
22,91,2,3,2,200,True,4.541500238701701,8.298999746330082,0.5472346520687638
22,92,4,3,4,200,True,4.938000347465277,5.32899983227253,0.9266279795245344
22,93,3,3,3,200,True,5.778000340797007,4.911000141873956,1.176542491117139
22,94,10,3,10,200,True,8.612499805167317,7.264000014401972,1.1856414906513961
22,95,9,3,9,200,True,10.829499806277454,6.671000155620277,1.6233697427144664
22,96,4,3,4,200,True,4.3919996824115515,5.017000366933644,0.8754234325671201
22,97,7,3,7,200,True,5.502999993041158,4.185499856248498,1.3147772505178263
22,98,2,3,2,200,True,3.7040002644062042,4.185999860055745,0.8848543689050382
22,99,6,3,6,200,True,5.806999979540706,4.384000203572214,1.3245893498839232
22,100,5,3,5,200,True,6.749000167474151,4.482999793253839,1.5054651971276602
22,101,3,3,3,200,True,4.50099993031472,3.5909999860450625,1.2534112915082138
22,102,7,3,7,200,True,5.713000427931547,4.646499874070287,1.2295277268407665
22,103,1,3,1,200,True,5.234000273048878,4.668500041589141,1.1211310327561317
22,104,3,3,3,200,True,4.138000076636672,5.652999971061945,0.732000724892862
22,105,7,3,7,200,True,5.48149982932955,4.31650027167052,1.269894471061429
22,106,3,3,3,200,True,4.453500150702894,4.296000115573406,1.036662018364137
22,107,0,3,0,200,True,2.670499961823225,5.718000466004014,0.4670338832080379
22,108,4,3,4,200,True,5.219000158831477,4.6675000339746475,1.1181574977702133
22,109,6,3,6,200,True,4.972000024281442,4.2450003093108535,1.1712602266190675
22,110,4,3,4,200,True,3.5165000008419156,4.174999776296318,0.8422754944340228
22,111,5,3,5,200,True,4.518000059761107,5.451499600894749,0.8287627974914594
22,112,11,3,11,200,True,8.869500015862286,10.691499919630587,0.8295842568896307
22,113,7,3,7,200,True,7.305499748326838,6.712499889545143,1.088342624735876
22,114,4,3,4,200,True,5.014499765820801,5.5744999554008245,0.899542525058688
22,115,4,3,4,200,True,6.278000073507428,4.038499901071191,1.5545376321148905
22,116,3,3,3,200,True,4.1010003769770265,4.2195001151412725,0.9719161666238564
22,117,6,3,6,200,True,5.6585000129416585,5.49200049135834,1.0303167346480222
22,118,4,3,4,200,True,6.09349983278662,6.0794997261837125,1.0023028385942039
22,119,9,3,9,200,True,9.381999843753874,6.249999860301614,1.5011200085532668
22,120,8,3,8,200,True,7.818500162102282,6.352500058710575,1.2307752994636374
22,121,9,3,9,200,True,6.3710001995787024,5.252499831840396,1.2129462929171386
22,122,4,3,4,200,True,4.43600001744926,4.30300016887486,1.0309086319671645
22,123,4,3,4,200,True,4.862499772571027,4.028499824926257,1.2070249432516822
22,124,5,3,5,200,True,4.750000080093741,4.220000118948519,1.1255924043142633
22,125,9,3,9,200,True,6.570499972440302,6.0319999465718865,1.0892738777583142
22,126,2,3,2,200,True,3.295999485999346,3.569500404410064,0.9233783758441904
22,127,1,3,1,200,True,2.7789996238425374,3.61250014975667,0.7692732203844267
22,128,8,3,8,200,True,6.236499757505953,6.0374999884516,1.0329606243370593
22,129,12,3,12,200,True,16.930500278249383,13.53900006506592,1.2504985742584047
22,130,6,3,6,200,True,6.0209998628124595,8.111500064842403,0.7422794569045523
22,131,7,3,7,200,True,5.9830001555383205,5.101499846205115,1.1727923818304007
22,132,7,3,7,200,True,4.8779998905956745,6.918999715708196,0.705015188759317
22,133,8,3,8,200,True,8.251499966718256,6.170499837026,1.3372498476063874
22,134,1,3,1,200,True,5.1790004363283515,3.737499937415123,1.3856857586759397
22,135,6,3,6,200,True,9.630999993532896,8.623499888926744,1.1168319264316175
22,136,6,3,6,200,True,5.371000152081251,5.158500280231237,1.0411941185046303
22,137,7,3,7,200,True,7.48349993955344,5.304500227794051,1.4107832252211168
