trial,ambient_n,live_k,fixed_count,program_slots,program_ops,full_raw_us,bind_hit_us,prebound_eval_us,prekey_lookup_us,key_sort_hash_us,cm_wrapper_us,full_minus_prebound_us
26,24,3,21,8,5,6.526333357517918,3.619666676968336,1.2703333050012589,0.7403331498305002,2.762333412344257,4.6170002315193415,5.256000052516659
26,32,3,29,8,5,7.453333431233962,5.538999879111846,1.4179999319215615,0.7533332488189141,3.914666594937444,5.913332958395283,6.035333499312401
27,24,7,17,17,10,8.4006666050603,2.811666733274857,3.621332968274752,0.6176667132725318,3.391333157196641,11.28633312570552,4.779333636785548
27,32,7,25,17,10,10.024333217491707,5.6300001839796705,4.016333259642124,0.7516665694614251,3.600333584472537,11.933666343490282,6.007999957849583
28,24,5,19,14,8,5.61200004691879,4.45666645343105,2.4756665031115213,0.8686666842550039,4.126999992877245,9.504333526516954,3.1363335438072686
28,32,5,27,14,8,7.714333478361367,4.5959996835639085,2.0866666454821825,0.8206667068103949,4.592000041157007,9.819000260904431,5.627666832879185
29,24,4,20,11,7,7.852333365008235,4.3213332537561655,2.8726664216568074,0.6389998209973176,3.0810001771897078,7.868000150968632,4.979666943351427
29,32,4,28,11,7,12.07366663341721,6.802333518862724,3.4486669270942607,1.5209999401122332,5.702333291992545,9.536999665821593,8.62499970632295
30,24,5,19,13,7,8.808333271493515,3.5256667373081045,3.5566665853063264,0.7250000877926747,3.99733311496675,8.585666849588355,5.251666686187189
30,32,5,27,13,7,8.819333355252942,6.8519997876137495,2.6206668311109147,0.7246663638701042,4.955000088860591,8.343333223213751,6.198666524142027
31,24,6,18,13,7,7.011333170036475,3.6186666693538427,2.286333280305068,0.8329997460047404,2.3116668065388994,8.470333414152265,4.724999889731407
31,32,6,26,13,7,9.0723333414644,5.105000066881379,2.7613334047297635,0.6533332634717226,4.7666664856175585,5.6870002299547195,6.310999936734637
32,24,7,17,19,11,7.938333631803592,2.3919999754677215,3.3513332406679788,0.6793334614485502,2.0879999889681735,10.272333165630698,4.5870003911356125
32,32,7,25,19,11,10.389333280424276,5.689333581055204,4.396333436792095,1.1579998924086492,4.9050000961869955,11.114333368216952,5.992999843632181
33,24,5,19,13,7,8.698333210001389,4.229333717375994,3.8536669065554934,0.772666729365786,3.2913335599005222,8.40366662790378,4.844666303445895
33,32,5,27,13,7,11.929666701083383,4.575333247582117,2.3949999983112016,0.8103332947939634,3.808666563903292,10.280666562418142,9.534666702772181
34,24,8,16,17,8,6.1813330588241415,3.020000100756685,1.8113335439314444,0.4516666134198507,3.048333261782924,8.584000170230865,4.369999514892697
34,32,8,24,17,8,6.682666717097163,3.3996665539840856,2.159666425238053,1.1983335328598816,3.9926668008168535,8.22566682472825,4.523000291859111
35,24,3,21,8,5,6.269333340848485,4.020666625971596,1.2689999615152678,0.6183329969644547,2.729000213245551,5.796000283832352,5.000333379333217
35,32,3,29,8,5,7.7480000133315725,4.516333186378082,1.272999991973241,0.8853334778298935,5.719000085567435,5.900999919200936,6.475000021358332
36,24,3,21,9,5,6.551333159829179,3.2750001021971307,1.8360000103712082,0.7846668207397064,4.371999918172757,6.000000284984708,4.715333149457971
36,32,3,29,9,5,10.415000142529607,6.753333145752549,2.08099993566672,0.9503335847208897,4.40433310965697,6.4746666854868336,8.334000206862887
37,24,9,15,19,10,8.11500009149313,2.195999647180239,3.217666720350583,0.6990002778669199,2.835999863843123,8.757333271205425,4.897333371142547
37,32,9,23,19,10,8.63666646182537,5.903333270301421,3.5296663797150054,0.9296667606880268,4.24900014574329,8.445666559661428,5.107000082110366
38,24,9,15,21,10,8.130999825273951,2.4303332126388946,2.775000175461173,0.4796664385745923,1.9640002089242143,8.476999743531149,5.355999649812778
38,32,9,23,21,10,9.361333213746548,4.054999832684795,2.8439999247590704,0.9286667530735333,3.3393331492940583,8.06833306948344,6.517333288987477
39,24,0,24,13,7,7.419666508212686,5.511333389828602,1.5873333904892206,1.0476664950450263,5.389999908705552,6.144333553190033,5.832333117723465
39,32,0,32,13,7,7.8266668909539785,6.50833360850811,1.7766666132956743,1.042666845023632,5.327333152915041,4.504666818926732,6.050000277658304
40,24,5,19,14,8,10.250333386162916,3.9656665952255326,2.5096663739532232,0.5783330804357926,3.451333614066243,9.39566680851082,7.740667012209693
40,32,5,27,14,8,8.025000182290873,4.637666667501132,3.0146667268127203,0.7176666986197233,4.2343333673973875,7.023333261410396,5.010333455478152
41,24,4,20,11,7,8.283666878317792,4.813333119576176,2.759666725372275,0.9263334019730488,3.397666538755099,10.052666766569018,5.524000152945517
41,32,4,28,11,7,11.17600011639297,6.2733333713064585,2.5036667163173356,1.1806667316704988,4.699666751548648,7.066999872525533,8.672333400075635
42,24,3,21,10,6,7.7913332885752125,3.3810001332312822,1.444666413590312,0.5379998280356327,3.6689999978989363,6.207666592672467,6.3466668749849005
42,32,3,29,10,6,7.885999899978438,7.178000329683225,2.2943333412210145,1.2706666408727565,5.046666677420338,7.60033338641127,5.591666558757424
43,24,6,18,12,6,8.22266680188477,2.7150001066426435,2.427666525666912,0.884666418035825,2.784666915734609,9.920333201686542,5.795000276217858
43,32,6,26,12,6,7.98466654183964,4.240666748955846,1.9230002847810586,0.6516665841142337,4.800333408638835,9.013333668311438,6.061666257058581
44,24,8,16,19,10,7.619666478907069,2.3893332884957394,3.119999698052804,0.4409998655319214,2.2556667681783438,8.87800008058548,4.499666780854265
