n,depth,trial,live_k,declined,ok,cm_us,bitset_us,ratio,output_k
24,4,177,8,False,True,3.5395612940192223,3.297911025583744,1.0732737379998616,8
24,4,178,7,False,True,3.5913591273128986,3.4936098381876945,1.0279794521004415,7
24,4,179,5,False,True,3.413108643144369,3.414209932088852,0.999677439593233,5
24,4,180,2,False,True,2.5848601944744587,2.8764107264578342,0.8986408549719161,2
24,4,181,3,False,True,2.643805928528309,3.5706092603504658,0.7404355211549559,3
24,4,182,2,False,True,2.1852063946425915,2.7222116477787495,0.8027319978685935,2
24,4,183,7,False,True,3.3115106634795666,3.3685588277876377,0.9830645189160795,7
24,4,184,8,False,True,3.3605587668716908,3.370910417288542,0.9969291232529467,8
24,4,185,1,False,True,1.8846546299755573,2.702358178794384,0.6974111147680532,1
24,4,186,5,False,True,3.76405892893672,4.10670880228281,0.9165633869254084,5
24,4,187,6,False,True,3.4010596573352814,3.13035910949111,1.086475876529124,6
24,4,188,7,False,True,4.1369604878127575,3.940409515053034,1.0498808491881022,7
24,4,189,8,False,True,3.386959433555603,3.1606084667146206,1.0716162628888573,8
24,4,190,5,False,True,3.0278111808001995,3.504711203277111,0.8639260142088221,5
24,4,191,4,False,True,2.87630595266819,3.215859178453684,0.8944129058696019,4
24,4,192,5,False,True,3.4309597685933113,3.74270835891366,0.9167050808065539,5
24,4,193,8,False,True,3.8670608773827557,3.4508085809648037,1.1206245686051857,8
24,4,194,8,False,True,4.373264964669943,3.833358641713858,1.1408441978480515,8
24,4,195,10,False,True,4.670959897339344,4.341516178101301,1.0758821816442292,10
24,4,196,1,False,True,2.1187542006373405,2.84701120108366,0.7442029732200833,1
24,4,197,6,False,True,3.5922089591622353,3.977564629167318,0.9031176848317473,6
24,4,198,6,False,True,3.1290599144995213,3.032104577869177,1.03197625086483,6
24,4,199,4,False,True,2.886704169213772,3.2634101808071136,0.8845667597016033,4
24,4,200,3,False,True,3.1335605308413506,3.305962309241295,0.9478512571307839,3
24,4,201,3,False,True,2.778011839836836,2.8886552900075912,0.9616972469669565,3
24,4,202,5,False,True,3.047608770430088,3.136959858238697,0.9715166620401777,5
24,4,203,7,False,True,3.5281083546578884,3.3926591277122498,1.0399242074864665,7
24,4,204,3,False,True,2.5670090690255165,2.9039056971669197,0.883984997009344,3
24,4,205,9,False,True,4.141360986977816,3.753560595214367,1.1033153407082006,9
24,4,206,6,False,True,4.041509237140417,3.7661101669073105,1.0731256012245816,6
24,4,207,3,False,True,2.5852047838270664,2.885411959141493,0.8959569102902907,3
24,4,208,6,False,True,3.101108595728874,3.302760887891054,0.938944325972401,6
24,4,209,7,False,True,3.9370101876556878,3.736410290002823,1.0536878667178473,7
24,4,210,7,False,True,3.790410701185465,3.65185784175992,1.0379403759481427,7
24,4,211,4,False,True,3.3073057420551777,3.302211407572031,1.001542703920005,4
24,4,212,7,False,True,3.645361866801977,3.185409586876631,1.1443934500041297,7
24,4,213,8,False,True,4.233263898640871,3.764659631997347,1.124474537528086,8
24,4,214,9,False,True,4.418811295181513,3.881009761244059,1.1385725795662676,9
24,4,215,4,False,True,2.825409173965454,3.2922602258622646,0.8581974024320816,4
24,4,216,4,False,True,3.0203559435904026,2.9500597156584263,1.02382874745174,4
24,4,217,6,False,True,2.9511540196835995,3.2788608223199844,0.9000546774033205,6
24,4,218,1,False,True,1.907953992486,2.631004899740219,0.7251807066852624,1
24,4,219,4,False,True,3.042758908122778,2.988309133797884,1.0182209309301589,4
