n,trial,live_k,repr,output_k,reps,ok,cm_us,bitset_us,ratio,cudd_backend,cudd_is_cudd,cudd_status,cudd_ok,cudd_build_best_us,cudd_build_median_us,cudd_nodes,autoref_backend,autoref_is_cudd,autoref_status,autoref_ok,autoref_build_best_us,autoref_build_median_us,autoref_nodes
30,15,8,3,8,200,True,4.292461089789867,4.3581100180745125,0.9849363765457096,dd.cudd,True,ok,True,13.200100511312485,15.619909390807152,19.5,dd.autoref,False,ok,True,148.70008453726768,171.58035188913345,19.5
30,16,7,3,7,200,True,4.193207714706659,4.4178590178489685,0.9491492819859855,dd.cudd,True,ok,True,12.519769370555878,13.850163668394089,12.0,dd.autoref,False,ok,True,117.99018830060959,138.1149049848318,12.0
30,17,8,3,8,200,True,3.6705099046230316,4.027457907795906,0.9113713882690284,dd.cudd,True,ok,True,12.880191206932068,14.215242117643356,22.0,dd.autoref,False,ok,True,160.0300893187523,174.68491569161415,22.0
30,18,4,3,4,200,True,3.021005541086197,3.9590615779161453,0.7630610137355593,dd.cudd,True,ok,True,9.119976311922073,9.640119969844818,6.0,dd.autoref,False,ok,True,57.47005343437195,64.41003642976284,6.0
30,19,7,3,7,200,True,3.7502055056393147,4.148911684751511,0.9039010204585554,dd.cudd,True,ok,True,12.819655239582062,14.24015499651432,12.5,dd.autoref,False,ok,True,137.40034773945808,145.62509022653103,12.5
30,20,7,3,7,200,True,3.643359523266554,4.07735351473093,0.893559881453395,dd.cudd,True,ok,True,14.590099453926086,17.80991442501545,16.0,dd.autoref,False,ok,True,161.50111332535744,180.28030171990395,16.0
30,21,5,3,5,200,True,3.347555175423622,3.8846605457365517,0.8617368586034094,dd.cudd,True,ok,True,9.010080248117447,10.309973731637001,9.0,dd.autoref,False,ok,True,71.89996540546417,79.90002632141113,9.0
30,22,8,3,8,200,True,4.122755490243435,4.433910362422466,0.9298238244020269,dd.cudd,True,ok,True,14.570076018571854,16.804784536361694,27.0,dd.autoref,False,ok,True,162.01985999941826,206.46490156650543,27.0
30,23,8,3,8,200,True,5.200665909796953,5.271164700388908,0.9866255762058139,dd.cudd,True,ok,True,20.320061594247818,20.88514156639576,26.0,dd.autoref,False,ok,True,209.4111405313015,250.00609457492828,26.0
30,24,4,3,4,200,True,2.8787553310394287,3.471758682280779,0.8291922320903435,dd.cudd,True,ok,True,5.609821528196335,6.654765456914902,6.5,dd.autoref,False,ok,True,48.05019125342369,52.904943004250526,6.5
30,25,8,3,8,200,True,3.9322604425251484,4.074859898537397,0.9650050653119552,dd.cudd,True,ok,True,15.619676560163498,17.069978639483452,22.5,dd.autoref,False,ok,True,156.28011897206306,180.22535368800163,22.5
30,26,6,3,6,200,True,3.354304935783148,3.788210451602936,0.8854589729469264,dd.cudd,True,ok,True,10.789837688207626,12.409873306751251,11.0,dd.autoref,False,ok,True,105.50068691372871,118.6260487884283,11.0
30,27,8,3,8,200,True,4.3539609760046005,4.6942103654146194,0.9275172259179386,dd.cudd,True,ok,True,14.14027065038681,14.934921637177467,14.0,dd.autoref,False,ok,True,126.81027874350548,162.83546574413776,14.0
30,28,5,3,5,200,True,2.6987562887370586,3.63021157681942,0.7434157022609552,dd.cudd,True,ok,True,9.519979357719421,10.060612112283707,7.5,dd.autoref,False,ok,True,59.17996168136597,76.11536420881748,7.5
30,29,3,3,3,200,True,3.037655260413885,3.7804548628628254,0.803515812410351,dd.cudd,True,ok,True,8.120201528072357,9.485054761171341,4.5,dd.autoref,False,ok,True,46.60012200474739,57.91522562503815,4.5
30,30,8,3,8,200,True,3.8821110501885414,4.105453845113516,0.9455985127708094,dd.cudd,True,ok,True,13.280194252729416,17.57522113621235,21.5,dd.autoref,False,ok,True,126.9499771296978,177.04046331346035,21.5
30,31,3,3,3,200,True,3.0265585519373417,3.7590088322758675,0.8051480289033882,dd.cudd,True,ok,True,7.3802657425403595,8.724862709641457,4.0,dd.autoref,False,ok,True,36.980025470256805,42.13489592075348,4.0
30,32,6,3,6,200,True,3.377455286681652,3.8487091660499577,0.8775553415349471,dd.cudd,True,ok,True,10.829884558916092,11.560041457414627,12.0,dd.autoref,False,ok,True,79.05997335910797,91.53992868959904,12.0
30,33,5,3,5,200,True,3.114105202257633,3.5831029526889324,0.8691084915438054,dd.cudd,True,ok,True,9.630341082811356,10.810093954205513,9.0,dd.autoref,False,ok,True,84.82066914439201,97.28549048304558,9.0
30,34,4,3,4,200,True,3.2122107222676277,3.87601088732481,0.8287414085373399,dd.cudd,True,ok,True,9.25036147236824,10.105082765221596,6.0,dd.autoref,False,ok,True,48.5200434923172,63.77999670803547,6.0
30,35,5,3,5,200,True,3.209509886801243,3.848909400403499,0.8338751456360014,dd.cudd,True,ok,True,8.750241249799728,11.075055226683617,7.5,dd.autoref,False,ok,True,57.13989958167076,82.21995085477829,7.5
30,36,3,3,3,200,True,2.644904889166355,3.7096580490469933,0.7129780842861859,dd.cudd,True,ok,True,7.370021194219589,8.239876478910446,5.0,dd.autoref,False,ok,True,39.32090476155281,47.13493399322033,5.0
30,37,5,3,5,200,True,3.1842058524489403,3.8235099054872985,0.8327965485009302,dd.cudd,True,ok,True,6.290152668952942,7.1998219937086105,6.0,dd.autoref,False,ok,True,64.27988409996033,71.45502604544163,6.0
30,38,6,3,6,200,True,3.728959709405899,4.205359145998955,0.8867161115011284,dd.cudd,True,ok,True,12.100208550691605,13.520009815692902,12.0,dd.autoref,False,ok,True,113.04020881652832,126.65987014770508,12.0
30,39,7,3,7,200,True,3.7849601358175278,4.136709030717611,0.9149689058891666,dd.cudd,True,ok,True,13.719778507947922,15.210360288619995,10.5,dd.autoref,False,ok,True,114.2006367444992,147.0707356929779,10.5
30,40,8,3,8,200,True,3.301161341369152,4.156511276960373,0.7942144556824751,dd.cudd,True,ok,True,13.129785656929016,14.715129509568214,19.0,dd.autoref,False,ok,True,113.67024853825569,165.45038670301437,19.0
30,41,7,3,7,200,True,3.686109557747841,4.139859229326248,0.8903949031976496,dd.cudd,True,ok,True,11.940021067857742,13.379845768213272,21.0,dd.autoref,False,ok,True,124.65985491871834,144.16547492146492,21.0
30,42,5,3,5,200,True,3.0201603658497334,3.6715110763907433,0.8225932873444259,dd.cudd,True,ok,True,9.300187230110168,10.099727660417557,9.0,dd.autoref,False,ok,True,66.87967106699944,74.28578101098537,9.0
30,43,7,3,7,200,True,3.862159792333841,4.303010646253824,0.8975482772035933,dd.cudd,True,ok,True,15.949830412864685,17.635291442275047,23.0,dd.autoref,False,ok,True,190.66967070102692,224.76003505289555,23.0
30,44,9,3,9,200,True,4.262011498212814,4.402559716254473,0.9680757951964292,dd.cudd,True,ok,True,16.730278730392456,18.659979104995728,46.5,dd.autoref,False,ok,True,215.6808041036129,270.93058452010155,46.5
30,45,3,3,3,200,True,2.31465557590127,3.503859043121338,0.6606017957387088,dd.cudd,True,ok,True,4.500150680541992,5.144858732819557,4.0,dd.autoref,False,ok,True,35.06988286972046,35.74998117983341,4.0
30,46,7,3,7,200,True,4.21496108174324,4.623760469257832,0.9115872480348861,dd.cudd,True,ok,True,14.019664376974106,16.020378097891808,21.0,dd.autoref,False,ok,True,157.91133046150208,173.39014448225498,21.0
