trial,live_k,output_k,reps,t7_us,t16_us,t16_over_t7
85,6,6,100,7.476999890059233,6.410999922081828,0.8574294525007731
86,15,15,7,1155.6999857670494,94.1142872241991,0.08143487789500536
87,5,5,100,7.819000165909529,6.306999130174518,0.806624759732419
88,8,8,30,404.4533319150408,7.96666524062554,0.019697365831811253
89,10,10,7,634.0857029759459,24.87143501639366,0.0392240905285593
90,13,13,7,556.4571391525012,46.857150404581006,0.08420621662963237
91,15,15,7,868.871425544577,116.05714514319385,0.13357228898447598
92,9,9,30,418.58666809275746,18.133331711093586,0.04332037566728068
93,11,11,30,551.4900006043414,22.943333412210148,0.04160244680242265
94,16,16,7,1881.0000037774444,353.2000118866563,0.18777246739891346
95,9,9,30,425.11000065132976,14.87666741013527,0.03499486576966449
98,11,11,7,437.92857988072296,18.357132960643085,0.04191809761683732
99,8,8,30,272.39000191912055,8.800001038859287,0.03230662277197762
100,9,9,30,419.3233326077461,10.246667079627514,0.024436195848926697
101,10,10,30,628.9833341725171,19.453334001203377,0.03092821851439983
102,6,6,100,6.932000396773219,8.186999475583434,1.1810442883694012
103,8,8,30,421.3233361952007,16.590002148101725,0.039375939386408716
104,15,15,7,2531.857146615429,200.0857244378754,0.07902725661491161
105,10,10,7,763.1571331460561,22.68570408757244,0.029726124676385298
106,14,14,7,1218.7428572880372,99.84285238065891,0.08192282053888755
107,14,14,7,743.5000069173318,73.49999421941382,0.09885674987974295
108,6,6,100,6.64799939841032,6.95300055667758,1.045878638066693
109,10,10,7,255.41428476572037,11.985705766294682,0.046926528707227994
110,13,13,7,649.4142747085009,36.4428519138268,0.05611649348204535
111,11,11,30,676.6766658984125,27.75333511332671,0.04101417488140967
112,13,13,7,653.0285713129811,55.49999020461526,0.08498860944633223
113,9,9,30,477.87666553631425,15.576668859769903,0.032595583720934414
114,13,13,7,560.0428641108531,33.771419631583356,0.06030149082463579
115,13,13,7,807.0142939686775,47.91428468057087,0.05937228750303964
116,7,7,100,8.427000138908625,7.045000093057752,0.8360033199157091
117,10,10,7,402.37143236611576,11.685720112706935,0.02904212171323872
118,7,7,100,10.033000726252794,9.228000417351723,0.9197647512578493
119,15,15,7,1214.3142853996583,84.42856570971864,0.0695277711255215
