corpus,role,id,cluster,live_k,structural_dag_nodes_source,unfolded_tree_nodes,ir_nodes,cm_instructions,cm_executed_bigint_ops,cm_executed_word_ops,cm_peak_live_word_buffers,raw_instructions,raw_executed_bigint_ops,raw_executed_word_ops,hash_ns_median,serde_ns_median,json_encode_ns_median,serde_bytes,compile_external_ns,ir_compile_ns,ir_canonicalize_ns,ir_rewrite_ns,ir_intern_ns,ir_live_vars_ns,lower_cm_ns_median,lower_raw_ns_median,raw_kernel_status,raw_flat_ns_median,raw_words_ns_median,cm_flat_ns_median,cm_words_ns_median,wrapper_current_ns_median,end_to_end_current_ns_median,raw_words_over_flat,cm_words_over_flat,wrapper_over_selected_bare,packed_sha256,packed_equal,output_bytes_exact,words_environment_bytes_estimate,raw_flat_temporary_bytes_estimate,raw_word_scratch_bytes_estimate,cm_word_scratch_bytes_estimate,max_kernel_temporary_bytes,kernel_batch,kernel_rounds,structural_hash
b2,held_out,b2-k6-xor_dom-shared-2-b6c3c0a8013a,xor_dom,6,20,31,10,4,8,8,3,15,15,15,22200.0,29800.0,37100.0,505,509000.0,502599.9853387475,46799.97800849378,75200.10694861412,91199.96684603393,55600.01591220498,29200.0,42900.0,ok,3502.0,18592.0,2385.0,12355.0,25000.0,294500.0,5.30896630496859,5.180293501048218,10.482180293501049,009e38e0d30da65985e43e9b34e826fd6f0eca25b432424470acf2b2d76135f2,True,8,48,248,32,24,268435456,100,5,b6c3c0a8013a4d2b1970ce811663641e
b2,held_out,b2-k6-xor_dom-shared-3-032bd0c6858d,xor_dom,6,21,47,13,7,17,14,4,23,35,29,25200.0,30900.0,20000.0,534,347800.0,342699.9901421368,27700.007194653153,47299.981815740466,64999.91286545992,40199.98596049845,25600.0,43700.0,ok,5308.0,34798.0,3129.0,22115.0,28200.0,475200.0,6.555764883195177,7.067753275806967,9.012464046021092,647e06729ebad981aa02e88ae05b3d081a43127e3d34b56fbde7c6413b78f788,True,8,48,376,32,32,268435456,100,5,032bd0c6858d6b4afd0094a7424cfa11
b2,held_out,b2-k6-xor_dom-shared-4-2ef76830fe72,xor_dom,6,22,80,10,4,8,7,2,42,81,59,28400.0,31800.0,20200.0,553,298900.0,294600.00223480165,22900.02885274589,39299.95000362396,46899.94966611266,21900.02123825252,18900.0,72500.0,ok,10287.0,90762.0,2148.0,10413.0,23500.0,481100.0,8.822980460775737,4.847765363128492,10.940409683426443,edef7ad9513057d8979adaa108d88fbe5f634f3a3dc3c66f9364ef7e8032213f,True,8,48,640,40,16,268435456,100,5,2ef76830fe72100cfafd3031156ddbbc
b2,held_out,b2-k6-andor_dom-tree-1-0a0c172dd63a,andor_dom,6,11,11,9,3,5,5,3,5,5,5,25300.0,23700.0,18300.0,270,205300.0,200700.01482963562,12899.981811642647,13400.014722719789,38899.946957826614,15800.00389367342,17700.0,11600.0,ok,1769.0,7536.0,1861.0,8301.0,21300.0,164700.0,4.260033917467496,4.460505104782375,11.445459430413756,f848de93b27124b7b13eaefeb6bfa0087e5ebbdf95e1833f4dd9ff0a83e967ac,True,8,48,88,24,24,268435456,100,5,0a0c172dd63ac6dbb5654a05eaf59115
b2,held_out,b2-k6-andor_dom-tree-2-eff74425a5c6,andor_dom,6,14,17,10,4,7,7,4,8,8,8,18200.0,19700.0,14300.0,347,198500.0,194599.99748505652,15900.004655122757,17400.04518069327,39100.03579221666,20099.978428333998,20000.0,15100.0,ok,2211.0,13720.0,2177.0,10665.0,24700.0,214500.0,6.2053369516056085,4.898943500229674,11.345888837850252,cad6be77a54376f1a05420a4bc3d4683a92d6e8e364fbca00e2996debd78f326,True,8,48,136,24,32,268435456,100,5,eff74425a5c62e0a8ee9f7af08b7476d
b2,held_out,b2-k6-andor_dom-tree-3-d47d0c96cf7f,andor_dom,6,13,15,11,5,8,7,3,7,9,8,18500.0,18200.0,14400.0,320,159200.0,155300.0183776021,9300.012607127428,10800.05313269794,35600.00914148986,17599.959392100573,20600.0,14100.0,ok,2231.0,11129.0,2408.0,10015.0,24000.0,184100.0,4.988346033168982,4.15905315614618,9.966777408637874,50914e4773046b53f84ce0f6f4539f4b538cc3fe27541eabae848d1b199cf00b,True,8,48,120,24,24,268435456,100,5,d47d0c96cf7fd5a658f4bb76c89f7a9c
b2,held_out,b2-k6-andor_dom-tree-4-9dc0cd28326c,andor_dom,6,14,17,11,5,8,8,3,8,8,8,20300.0,18800.0,14600.0,347,185100.0,181100.01110471785,14099.961845204234,13400.014722719789,38700.003642588854,19600.00372491777,20700.0,15400.0,ok,2128.0,10640.0,2342.0,11790.0,26700.0,203500.0,5.0,5.034158838599487,11.400512382578992,c9b8b2d93f46839e42d4fa0c013558ab346efeafcd9458aa0784a14e80460c26,True,8,48,136,24,24,268435456,100,5,9dc0cd28326ce254829e44c3b1a16e33
b2,held_out,b2-k6-andor_dom-shared-1-b8d344418390,andor_dom,6,24,52,16,10,18,15,6,29,36,29,33100.0,34400.0,21800.0,593,327400.0,322300.0094294548,29600.138077512383,36500.0159945339,61800.063122063875,32500.014640390873,29100.0,41100.0,ok,5632.0,29897.0,3690.0,19757.0,29200.0,336800.0,5.308416193181818,5.35420054200542,7.913279132791328,3e990d45c83fa01d9bf0c64b79ed7678df3c723614f0f7eccdc3d196fa3073e9,True,8,48,416,32,48,268435456,100,5,b8d344418390aa1b1341778c11e98f9f
b2,held_out,b2-k6-andor_dom-shared-2-64893da6cbd9,andor_dom,6,24,84,14,8,16,14,6,43,48,44,36500.0,34100.0,22700.0,598,322000.0,316800.0257574022,29699.935112148523,32500.04374422133,58700.03951713443,35199.97699186206,26800.0,64800.0,ok,7635.0,54017.0,3552.0,18724.0,27900.0,324400.0,7.0749181401440735,5.271396396396397,7.85472972972973,46386ff0eccd7a7871daa3122b418bbf8e0d0180eca74808a53b2c3ed970f50e,True,8,48,672,48,48,268435456,100,5,64893da6cbd9f2e635bceb73d3fdd198
b2,held_out,b2-k6-andor_dom-shared-3-a125454cd529,andor_dom,6,21,41,12,6,15,13,4,21,25,22,28200.0,29600.0,22100.0,527,302100.0,297600.02507828176,25799.963623285294,32399.98477511108,57899.917010217905,31900.01007169485,22900.0,31200.0,ok,4305.0,24909.0,2857.0,18586.0,28200.0,307100.0,5.786062717770035,6.505425271263563,9.870493524676235,3f710ac088db33363087de2b9a657541fe5447821debaa9fe5cbd538eb1a5f29,True,8,48,328,32,32,268435456,100,5,a125454cd529d4c8e17690dfb1168998
b2,held_out,b2-k6-andor_dom-shared-4-0dd35386d57d,andor_dom,6,20,41,13,7,15,14,5,20,22,21,27200.0,30900.0,23000.0,501,304000.0,299300.00891909003,28500.042390078306,24400.069378316402,59499.98740106821,39000.005926936865,25400.0,33400.0,ok,3849.0,28292.0,3071.0,19810.0,28900.0,322600.0,7.350480644323201,6.450667535004884,9.41061543471182,1656c269d0236784b54b17c8ef8406cea69739a8e3a204b3cbb8bfa53449f35b,True,8,48,328,32,40,268435456,100,5,0dd35386d57dfaaca3377253436c56ef
b2,held_out,b2-k6-impeqv_dom-tree-1-c05059f5591f,impeqv_dom,6,11,11,11,5,13,9,3,5,13,9,15700.0,14700.0,12300.0,272,119200.0,116299.98334683478,1999.9861251562834,10200.048564001918,30299.968784675002,14099.99094903469,19400.0,35300.0,ok,2340.0,11776.0,2811.0,14621.0,30500.0,154700.0,5.032478632478632,5.201351832088225,10.850231234436144,7524471d915b02b29cef6bb1183791a371f6ace366b980da3b4594da2e301b21,True,8,48,88,24,24,268435456,100,5,c05059f5591fb03830a6d165ccd50950
b2,held_out,b2-k6-impeqv_dom-tree-2-187a6f599749,impeqv_dom,6,14,15,14,8,20,13,4,8,20,13,19600.0,18500.0,14000.0,337,142100.0,138500.0068694353,1899.9853637069464,8500.006515532732,37999.94010478258,15099.969459697604,24100.0,13800.0,ok,3152.0,15776.0,3097.0,15105.0,26700.0,246500.0,5.00507614213198,4.877300613496932,8.621246367452374,1e13d706fb3dda034bfb6bd79f1f24f0a35baa6c661823432c53d2ac2c6be21a,True,8,48,120,32,32,268435456,100,5,187a6f599749426908bf6ffdf8a53d6d
b2,held_out,b2-k6-impeqv_dom-tree-3-9df370a422d4,impeqv_dom,6,15,18,15,9,22,15,3,9,22,15,21900.0,21600.0,14700.0,369,168200.0,164099.9980736524,4000.0013541430235,12300.035450607538,40799.990529194474,20099.978428333998,26400.0,16000.0,ok,3309.0,18401.0,3835.0,18972.0,36900.0,211300.0,5.560894530069508,4.9470664928292045,9.621903520208605,28a94295a090f24e443f2d252b023381603f14ffb2377f65b6be6020665e3e9a,True,8,48,144,24,24,268435456,100,5,9df370a422d43bf095998857fb41128c
b2,held_out,b2-k6-impeqv_dom-tree-4-07d0d6da2af7,impeqv_dom,6,14,17,14,8,20,14,5,8,20,14,20200.0,20800.0,14600.0,350,177600.0,173600.0122036785,4100.0021155923605,15700.061339884996,40099.95609521866,22700.056433677673,25700.0,15100.0,ok,3121.0,18016.0,3288.0,17242.0,30100.0,376200.0,5.772508811278437,5.2439172749391725,9.154501216545013,8f70d951764efc3a27090723594ff891fe9fb6f0f120509230ab0b05e930f6b6,True,8,48,136,40,40,268435456,100,5,07d0d6da2af72423732742dae2858d4a
b2,held_out,b2-k6-impeqv_dom-shared-1-f68095cd3ba2,impeqv_dom,6,24,42,24,18,49,33,7,21,56,38,64300.0,80900.0,48200.0,604,402600.0,395900.01688338816,5500.012775883079,24699.92614351213,100999.98326040804,46500.03393180668,47300.0,35500.0,ok,6479.0,47863.0,6163.0,45177.0,38700.0,339900.0,7.387405463806143,7.330358591595003,6.279409378549408,456fa9ee42dce63c64416e513d4e929a4ee3caabd2db6c1d980b63123ef8151d,True,8,48,336,24,56,268435456,100,5,f68095cd3ba2889cdc1c29844e0c9c77
b2,held_out,b2-k6-impeqv_dom-shared-2-22089ede1135,impeqv_dom,6,21,41,20,14,39,26,6,20,56,38,28900.0,31600.0,20500.0,532,240900.0,236099.99334439635,3799.9998312443495,19799.94704015553,58400.03723278642,34299.99924264848,35100.0,32900.0,ok,6518.0,46852.0,4878.0,29852.0,34400.0,280900.0,7.1880945075176435,6.119721197211972,7.0520705207052075,da5dc6f3940660a47e580ca74507b1073a28fc8818f12f7901782e7f17c39b91,True,8,48,328,40,48,268435456,100,5,22089ede1135fa54afe9f25462602668
b2,held_out,b2-k6-impeqv_dom-shared-3-32d1a4c2066e,impeqv_dom,6,24,49,22,16,38,26,5,27,65,43,33800.0,37200.0,21300.0,599,327300.0,321900.00638365746,7699.971320107579,28599.89763237536,76199.99814778566,44399.95973370969,39800.0,39800.0,ok,7645.0,47473.0,5518.0,35565.0,38000.0,379900.0,6.2096795291039895,6.445270025371512,6.886553098948895,ea0d9f4b80c89400af7c42e36ca3620d6893ac17c46c1fe18b9f59bbc42433b8,True,8,48,392,32,40,268435456,100,5,32d1a4c2066ea302483a5e9001e64892
b2,held_out,b2-k6-impeqv_dom-shared-4-3e4e99468c60,impeqv_dom,6,23,43,23,17,45,30,6,23,61,40,44600.0,41200.0,32900.0,573,511800.0,504299.99828338623,6200.018106028438,36200.013710185885,148000.05010329187,70500.04205666482,44500.0,38700.0,ok,6810.0,45998.0,5673.0,33898.0,37100.0,336300.0,6.754478707782672,5.975321699277278,6.539749691521241,f6b41ca15f86f66da7370a58a52c273cdddd507c80b432acf9de9d69ab5f6e54,True,8,48,344,32,48,268435456,100,5,3e4e99468c604c0792fd1951a4829f9a
b2,held_out,b2-k6-mixed-tree-1-9ecccc175ad2,mixed,6,13,15,13,7,15,11,4,7,15,11,44500.0,21200.0,15600.0,322,191500.0,185900.01855045557,6499.962182715535,16499.980119988322,41099.992813542485,22900.02885274589,25400.0,15000.0,ok,2677.0,14826.0,3071.0,14707.0,27000.0,205700.0,5.538289129622712,4.788993813090198,8.791924454575057,cc748c8dd498ebf4ba264da58e9b3b3c3cd35ba8a8d734c934c91675c283fc04,True,8,48,120,32,32,268435456,100,5,9ecccc175ad277dbcf0c90e75e26c502
b2,held_out,b2-k6-mixed-tree-2-40b1238ea748,mixed,6,14,16,14,8,15,11,4,8,15,11,21400.0,19600.0,14700.0,344,172100.0,167899.99790489674,8000.002708286047,12500.007869675756,38400.08866973221,17300.04441924393,24900.0,15000.0,ok,2733.0,14048.0,3114.0,14479.0,27300.0,222600.0,5.140139041346505,4.649646756583173,8.766859344894026,50b964a05d1cc7f170c8e535883101b324eeedb8ca72b9b15fb11465c0efdc4c,True,8,48,128,32,32,268435456,100,5,40b1238ea7485d631141d917570e7cc6
b2,held_out,b2-k6-mixed-tree-3-aeb0c639e3f5,mixed,6,12,13,11,5,10,8,3,6,10,8,21400.0,19700.0,14700.0,298,222200.0,215699.9835278839,9199.982741847634,18700.025975704193,45599.997974932194,21199.957700446248,27400.0,16300.0,ok,2226.0,12022.0,2497.0,11262.0,24500.0,182200.0,5.400718778077269,4.510212254705647,9.811774128954745,70502cbecab45d272c4e30db55dde2af39dabf59ea4cb5b06c13d6335e5470af,True,8,48,104,24,24,268435456,100,5,aeb0c639e3f54cd776046db8f6214870
