corpus,role,id,cluster,live_k,structural_dag_nodes_source,unfolded_tree_nodes,ir_nodes,node_count_cold_ns_median,node_count_warm_ns_median,cm_instructions,cm_executed_bigint_ops,cm_executed_word_ops,cm_peak_live_word_buffers,raw_instructions,raw_executed_bigint_ops,raw_executed_word_ops,hash_ns_median,serde_ns_median,json_encode_ns_median,serde_bytes,compile_external_ns,ir_compile_ns,ir_canonicalize_ns,ir_rewrite_ns,ir_intern_ns,ir_live_vars_ns,lower_cm_ns_median,lower_raw_ns_median,raw_kernel_status,raw_flat_ns_median,raw_words_ns_median,cm_flat_ns_median,cm_words_ns_median,wrapper_current_ns_median,end_to_end_current_ns_median,raw_words_over_flat,cm_words_over_flat,wrapper_over_selected_bare,packed_sha256,packed_equal,output_bytes_exact,words_environment_bytes_estimate,raw_flat_temporary_bytes_estimate,raw_word_scratch_bytes_estimate,cm_word_scratch_bytes_estimate,max_kernel_temporary_bytes,kernel_batch,kernel_rounds,structural_hash
b2,held_out,b2-k16-mixed-tree-3-813773e1451b,mixed,16,40,48,40,10300.0,300.0,24,53,38,6,24,53,38,55700.0,60800.0,31300.0,966,559900.0,551100.0053957105,20099.978428333998,41999.941458925605,126200.02962648869,81800.04078894854,69000.0,42400.0,ok,122340.0,69620.0,113500.0,64460.0,82600.0,610400.0,0.5690698054601929,0.5679295154185022,1.2814148309028854,a95812dc6dbc063bb8164d6abbc45375d73fcfc19d0625b01d15b5c6e8414b8e,True,8192,131072,393216,40960,49152,8388608,5,5,813773e1451bbd6a2f98e96ceefda0d9
b2,held_out,b2-k16-mixed-tree-4-8eb11693eacf,mixed,16,37,43,36,9300.0,300.0,20,43,32,5,21,43,32,52800.0,51400.0,29100.0,893,466800.0,460000.0102072954,19500.03206729889,40399.8710680753,104100.03596916795,71800.02285167575,60200.0,32900.0,ok,80600.0,60280.0,81740.0,56600.0,75300.0,565400.0,0.7478908188585608,0.6924394421335943,1.3303886925795052,4d6d9f055df5a6ee20cb816584dc2ae46a7f5e44347816ed8de2c611a8529f3b,True,8192,131072,352256,32768,40960,8388608,5,5,8eb11693eacf1038682e614ce5d178ae
b2,held_out,b2-k16-mixed-shared-1-ee24b1b1bb48,mixed,16,41,77,33,13100.0,400.0,17,39,32,6,38,54,46,53200.0,55700.0,32200.0,998,887000.0,875199.9994274229,57200.08630305529,77900.01109242439,187900.0337794423,154600.1003589481,80600.0,94500.0,ok,148300.0,141020.0,74620.0,67080.0,98300.0,722800.0,0.9509103169251517,0.8989547038327527,1.4654144305307095,c1e3d8599b12aecc02b1037e39548ef97c9b307728c1dd11c2724784ceae6cb0,True,8192,131072,630784,40960,49152,8388608,5,5,ee24b1b1bb4825011fe7d41a9efa2bb7
b2,held_out,b2-k16-mixed-shared-2-bc31f42a45c2,mixed,16,44,96,34,9200.0,300.0,18,51,39,7,50,107,76,52600.0,62700.0,34300.0,1073,620600.0,613000.0110715628,33900.02530068159,61299.85558800399,137899.97319690883,112899.95745755732,55600.0,72000.0,ok,282480.0,130980.0,97400.0,71120.0,86900.0,792200.0,0.463678844519966,0.7301848049281314,1.2218785151856018,7a725401fb035c3469721894db466607939804371e65638031032201203731b2,True,8192,131072,786432,32768,57344,8388608,5,5,bc31f42a45c2f54a8b39ca80550f8c5f
b2,held_out,b2-k16-mixed-shared-3-8dda327e304f,mixed,16,46,85,39,15700.0,400.0,23,50,40,9,42,70,56,61000.0,64400.0,37900.0,1133,893000.0,881500.0182949007,51700.04442334175,78300.0432420522,191200.05890727043,152200.0238765031,103100.0,104400.0,ok,211880.0,158620.0,87920.0,71660.0,127700.0,1040500.0,0.7486313007362658,0.815059144676979,1.7820262349986045,5a5dd23628309d8254036753447cc7855664935af517dc86b3a9c8b57d120b9f,True,8192,131072,696320,40960,73728,8388608,5,5,8dda327e304f66ada6c383e414f2a5f7
b2,held_out,b2-k16-mixed-shared-4-8dafe13fc96b,mixed,16,41,69,32,8900.0,400.0,16,45,35,8,34,68,51,84500.0,87200.0,50900.0,1001,587400.0,578500.0103060156,34499.9716617167,52800.11100694537,123300.03664828837,104299.95018057525,53100.0,57400.0,ok,145980.0,86040.0,89960.0,65400.0,76400.0,979300.0,0.5893958076448829,0.7269897732325478,1.1681957186544343,2b01e9e55fa763957fceaf6cf7170bb8e75ab3237ef34252d83ab4a5e9c39ccc,True,8192,131072,565248,49152,65536,8388608,5,5,8dafe13fc96bfdcb0f894634ae107e89
epfl,held_out,epfl-arithmetic-adder-po3-e22ec7119f,adder.aig,8,42,89,41,15100.0,400.0,33,53,34,6,61,95,61,77100.0,88800.0,44800.0,956,669300.0,655099.9823957682,46500.00482797623,43800.0715803355,178900.0234566629,64999.97107312083,100200.0,93400.0,ok,11676.0,52281.0,8364.0,29667.0,25500.0,447700.0,4.47764645426516,3.546987087517934,3.048780487804878,d37f25665cce1aecebbf013f996122f7faa349f58412e2d981ca965024688b71,True,32,256,2848,192,192,8388608,100,5,e22ec7119ffd1636eadffc9fcfcb4843
epfl,held_out,epfl-arithmetic-adder-po4-ed17ac917c,adder.aig,10,54,117,53,12600.0,300.0,43,69,44,8,81,127,81,67200.0,60200.0,40500.0,1222,558700.0,550500.0008270144,34799.88663457334,39500.06794184446,148299.93597231805,56600.081734359264,72300.0,75200.0,ok,18374.0,70586.0,11998.0,37874.0,28700.0,756300.0,3.8416240339610317,3.156692782130355,2.3920653442240374,9a8a466dc0641128100f47db630673764e5e229088ba532115734e5c0b50116e,True,128,1280,14976,896,1024,8388608,50,5,ed17ac917c28511b926f91df0f41f4cd
epfl,held_out,epfl-arithmetic-adder-po5-d8df03f32b,adder.aig,12,66,145,65,15200.0,200.0,53,85,54,10,101,159,101,81200.0,72600.0,44700.0,1490,680200.0,671300.0184390694,40799.990529194474,49100.11193715036,181300.07083527744,71800.02285167575,91700.0,99400.0,ok,48200.0,90170.0,28480.0,48595.0,47300.0,700700.0,1.870746887966805,1.7062851123595506,1.660814606741573,74d4ee5fb9d13f31a6dfc7bac9fa55de70a4b7638a656bf599d73d6e44730939,True,512,6144,74240,4096,5120,8388608,20,5,d8df03f32bb4ff5aac640b5056423024
epfl,held_out,epfl-arithmetic-adder-po6-5e5f8d2bf9,adder.aig,14,78,173,77,19700.0,300.0,63,101,64,12,121,191,121,100000.0,85500.0,52200.0,1758,918500.0,911100.0108532608,54600.066505372524,62999.89763647318,256000.11576898396,114399.96887929738,110000.0,120200.0,ok,115200.0,118840.0,63160.0,64300.0,79800.0,932900.0,1.0315972222222223,1.0180493983533883,1.2634578847371754,4026f35c42e8009977267920e6c482465bf0766b5520545ad580edb8824305db,True,2048,28672,354304,18432,24576,8388608,5,5,5e5f8d2bf9194aa08af98cde3140bffc
