corpus,id,live_k,ambient_n,op_family,shape,current_engine,cm_current_ns_median,cm_wrapper_ns_median,cse_flat_current_ns_median,raw_current_ns_median,cm_current_over_cse_flat_current,cm_wrapper_over_cse_flat_current,cm_current_over_raw_current,cm_wrapper_over_raw_current,cse_flat_current_over_raw_current,cm_flat_ns_median,cm_words_ns_median,cse_flat_flat_ns_median,cse_flat_words_ns_median,raw_flat_ns_median,raw_words_ns_median,packed_sha256,packed_equal_all_arms,batch,rounds
b2,b2-k4-impeqv_dom-shared-4-f61110d6fca7,4,4,impeqv_dom,shared,flat,3452.0,22491.0,7596.0,11387.0,0.454449710373881,2.9609004739336493,0.3031527180117678,1.9751470975674015,0.6670764907350487,2250.0,2326.0,5361.0,5203.0,7898.0,8009.0,af35cf33330c8003d7af1221cd460af6401a1f4936caf864fc5772657e3ca072,True,100,7
b2,b2-k4-mixed-tree-1-6a5b06e30521,4,4,mixed,tree,flat,3171.0,23401.0,4735.0,3417.0,0.6696937697993665,4.942133051742344,0.9280070237050044,6.848405033655253,1.385718466491074,3870.0,4026.0,4606.0,4395.0,3004.0,3201.0,e9af142af8c43e431b89ecd40f29bbd8c1068cad8afec9b8b07d2e0e9768edf6,True,100,7
b2,b2-k4-mixed-tree-2-39dcef306168,4,4,mixed,tree,flat,3024.0,21863.0,5083.0,2785.0,0.5949242573283494,4.301200078693685,1.0858168761220826,7.850269299820467,1.8251346499102334,2939.0,3179.0,3664.0,4973.0,3812.0,3977.0,d6702270d176bac32f4c82874128788420408e580e7c3a1be862bbfe2fb1a632,True,100,7
b2,b2-k4-mixed-tree-3-42ca330baf1d,4,4,mixed,tree,flat,2560.0,15657.0,3020.0,2392.0,0.847682119205298,5.184437086092715,1.0702341137123745,6.545568561872909,1.2625418060200668,2407.0,2660.0,2835.0,2928.0,2173.0,2546.0,e8822f532ae9349b2b5743c494efd216ed4e44f9ebc82a6b1cb54895a5b88433,True,100,7
b2,b2-k4-mixed-tree-4-21975d9e7f15,4,4,mixed,tree,flat,2316.0,15583.0,2661.0,2109.0,0.8703494926719278,5.856069146937242,1.0981507823613086,7.388809862494073,1.2617354196301565,2197.0,2441.0,2613.0,2549.0,1927.0,2045.0,46cc6a8cb5bcc0120f98b84c71699b2ac5b90cb34a781ae2a83305fa98cd8e67,True,100,7
b2,b2-k4-mixed-shared-1-1f8d2534cdb0,4,4,mixed,shared,flat,3117.0,15863.0,3760.0,4252.0,0.8289893617021277,4.218882978723404,0.7330667920978363,3.7307149576669802,0.8842897460018815,2968.0,3052.0,3791.0,3806.0,4023.0,4205.0,b8811852747cfa3620c3dd2af5d59498c240f208e689b4052bac934c29faf094,True,100,7
b2,b2-k4-mixed-shared-2-8d20aba853af,4,4,mixed,shared,flat,3957.0,17073.0,4214.0,4044.0,0.9390128144280968,4.0514950166112955,0.978486646884273,4.221810089020772,1.0420375865479723,3472.0,3567.0,3951.0,3845.0,3526.0,3493.0,fcf0a6c700dd13e274b6fba8deea8dd9b26e4eedde3495717cac8408c9c5177f,True,100,7
b2,b2-k4-mixed-shared-3-8ed832ddfd1a,4,4,mixed,shared,flat,4426.0,18110.0,4725.0,6181.0,0.9367195767195767,3.8328042328042327,0.7160653615919754,2.9299466105808123,0.7644394110985278,4565.0,4619.0,4991.0,4920.0,6463.0,6452.0,c0ba8a33ac67f44abff5984dfbb6f56c46b880ac2b86e1f23e7fa9c402c53ae7,True,100,7
b2,b2-k4-mixed-shared-4-22af367a203f,4,4,mixed,shared,flat,3979.0,17380.0,4223.0,5311.0,0.9422211697845134,4.115557660430973,0.7491997740538505,3.2724533986066655,0.7951421577857277,3629.0,3728.0,4005.0,3986.0,4961.0,5066.0,339e8fdd18e00f5d48bda16256b4afabd5106771063c47c993e05676cd5264e9,True,100,7
b2,b2-k6-xor_dom-tree-1-bd603bfcb13b,6,6,xor_dom,tree,flat,4600.0,25638.0,5113.0,4393.0,0.8996675141795424,5.0142773322902405,1.0471204188481675,5.836102890962896,1.1638971090371044,4533.0,21130.0,5281.0,17259.0,4358.0,19325.0,134a2372b7a31f4577e0f1881cee72029d82b9b9f47e40e5367a07212656b59a,True,100,7
b2,b2-k6-xor_dom-tree-2-186d01415e6e,6,6,xor_dom,tree,flat,1771.0,14876.0,2031.0,2171.0,0.8719842442146726,7.324470704086657,0.8157531091662829,6.852141870105942,0.935513588208199,1510.0,8878.0,1836.0,9036.0,1837.0,7333.0,1d32e4a54704fac550a359f8a10b86059decdcb9c5508b41ff340958805d1bc1,True,100,7
b2,b2-k6-xor_dom-tree-3-db17c2d558b5,6,6,xor_dom,tree,flat,2352.0,15790.0,2853.0,2516.0,0.8243953732912723,5.534525061338941,0.9348171701112877,6.275834658187599,1.1339427662957076,2138.0,11300.0,2749.0,10515.0,2242.0,9260.0,3771c86aaf3420499795d6e04e7615973a08aa7d0e4e4225479b5e45d6d790e9,True,100,7
b2,b2-k6-xor_dom-tree-4-55e169562c2e,6,6,xor_dom,tree,flat,2761.0,17185.0,3036.0,2680.0,0.9094202898550725,5.6604084321475625,1.030223880597015,6.412313432835821,1.1328358208955225,2604.0,12641.0,3271.0,12612.0,2576.0,11309.0,77ec00a4540ec379e53185390153ae3788621199fb76ecced5ba563d8587d205,True,100,7
b2,b2-k6-xor_dom-shared-1-9e510ec73f56,6,6,xor_dom,shared,flat,3945.0,17815.0,4591.0,5952.0,0.8592899150511871,3.880418209540405,0.6628024193548387,2.993111559139785,0.7713373655913979,4280.0,29366.0,4997.0,40735.0,6250.0,47747.0,2aec3bc90a539e122dd54736db4e4400e5b5007095003e6c684efddffc04cfad,True,100,7
b2,b2-k6-xor_dom-shared-2-b6c3c0a8013a,6,6,xor_dom,shared,flat,4180.0,17992.0,3548.0,4904.0,1.178128523111612,5.071025930101466,0.8523654159869495,3.66884176182708,0.7234910277324633,2708.0,14706.0,3627.0,26663.0,4232.0,23123.0,009e38e0d30da65985e43e9b34e826fd6f0eca25b432424470acf2b2d76135f2,True,100,7
b2,b2-k6-xor_dom-shared-3-032bd0c6858d,6,6,xor_dom,shared,flat,3470.0,15643.0,4003.0,5902.0,0.8668498626030477,3.9078191356482637,0.5879362927821078,2.6504574720433753,0.6782446628261606,3440.0,20730.0,4053.0,26805.0,5891.0,37446.0,647e06729ebad981aa02e88ae05b3d081a43127e3d34b56fbde7c6413b78f788,True,100,7
b2,b2-k6-xor_dom-shared-4-2ef76830fe72,6,6,xor_dom,shared,flat,2721.0,16141.0,4771.0,11319.0,0.5703206874869,3.383148186962901,0.24039226080042406,1.426009364784875,0.42150366640162557,3635.0,12513.0,5233.0,26846.0,12410.0,86492.0,edef7ad9513057d8979adaa108d88fbe5f634f3a3dc3c66f9364ef7e8032213f,True,100,7
b2,b2-k6-andor_dom-tree-1-0a0c172dd63a,6,6,andor_dom,tree,flat,2220.0,14652.0,2486.0,2076.0,0.8930008045052292,5.893805309734513,1.069364161849711,7.057803468208093,1.197495183044316,2093.0,9915.0,2526.0,10531.0,1903.0,8277.0,f848de93b27124b7b13eaefeb6bfa0087e5ebbdf95e1833f4dd9ff0a83e967ac,True,100,7
b2,b2-k6-andor_dom-tree-2-eff74425a5c6,6,6,andor_dom,tree,flat,2514.0,17751.0,2853.0,3405.0,0.8811777076761304,6.221871713985279,0.7383259911894273,5.213215859030837,0.8378854625550661,2446.0,11956.0,2875.0,14388.0,2348.0,11723.0,cad6be77a54376f1a05420a4bc3d4683a92d6e8e364fbca00e2996debd78f326,True,100,7
b2,b2-k6-andor_dom-tree-3-d47d0c96cf7f,6,6,andor_dom,tree,flat,2775.0,21087.0,3295.0,4046.0,0.842185128983308,6.399696509863429,0.6858625803262481,5.211814137419673,0.8143845773603559,2656.0,11749.0,3099.0,13029.0,2406.0,12521.0,50914e4773046b53f84ce0f6f4539f4b538cc3fe27541eabae848d1b199cf00b,True,100,7
b2,b2-k6-andor_dom-tree-4-9dc0cd28326c,6,6,andor_dom,tree,flat,2875.0,20920.0,3522.0,2706.0,0.816297558205565,5.939806927881885,1.0624538063562454,7.730968218773097,1.3015521064301552,2745.0,14306.0,3201.0,15467.0,2351.0,12201.0,c9b8b2d93f46839e42d4fa0c013558ab346efeafcd9458aa0784a14e80460c26,True,100,7
b2,b2-k6-andor_dom-shared-1-b8d344418390,6,6,andor_dom,shared,flat,4243.0,17034.0,5234.0,6447.0,0.8106610622850592,3.254489873901414,0.6581355669303552,2.6421591437878083,0.8118504730882581,4331.0,21078.0,5235.0,24542.0,5949.0,33632.0,3e990d45c83fa01d9bf0c64b79ed7678df3c723614f0f7eccdc3d196fa3073e9,True,100,7
b2,b2-k6-andor_dom-shared-2-64893da6cbd9,6,6,andor_dom,shared,flat,3580.0,16200.0,4976.0,9158.0,0.7194533762057878,3.2556270096463025,0.3909150469534833,1.7689451845381088,0.543350076435903,3577.0,23562.0,5275.0,29157.0,8338.0,55118.0,46386ff0eccd7a7871daa3122b418bbf8e0d0180eca74808a53b2c3ed970f50e,True,100,7
b2,b2-k6-andor_dom-shared-3-a125454cd529,6,6,andor_dom,shared,flat,4906.0,24728.0,6431.0,7215.0,0.762867361219095,3.845125174933914,0.6799722799722799,3.4273042273042273,0.8913374913374913,3403.0,20869.0,6397.0,24079.0,4965.0,30161.0,3f710ac088db33363087de2b9a657541fe5447821debaa9fe5cbd538eb1a5f29,True,100,7
b2,b2-k6-andor_dom-shared-4-0dd35386d57d,6,6,andor_dom,shared,flat,3535.0,17869.0,3981.0,4440.0,0.8879678472745541,4.488570710876664,0.7961711711711712,4.024549549549549,0.8966216216216216,3373.0,22460.0,4110.0,24771.0,4410.0,28520.0,1656c269d0236784b54b17c8ef8406cea69739a8e3a204b3cbb8bfa53449f35b,True,100,7
b2,b2-k6-impeqv_dom-tree-1-c05059f5591f,6,6,impeqv_dom,tree,flat,3223.0,16377.0,3960.0,3088.0,0.8138888888888889,4.135606060606061,1.0437176165803108,5.303432642487047,1.282383419689119,5271.0,23267.0,5941.0,23536.0,4913.0,23513.0,7524471d915b02b29cef6bb1183791a371f6ace366b980da3b4594da2e301b21,True,100,7
b2,b2-k6-impeqv_dom-tree-2-187a6f599749,6,6,impeqv_dom,tree,flat,4158.0,32388.0,5012.0,4230.0,0.8296089385474861,6.462090981644054,0.9829787234042553,7.656737588652482,1.184869976359338,3469.0,17942.0,4715.0,18629.0,3348.0,18212.0,1e13d706fb3dda034bfb6bd79f1f24f0a35baa6c661823432c53d2ac2c6be21a,True,100,7
b2,b2-k6-impeqv_dom-tree-3-9df370a422d4,6,6,impeqv_dom,tree,flat,4041.0,19629.0,4509.0,3676.0,0.8962075848303394,4.3532934131736525,1.0992927094668117,5.339771490750816,1.2266050054406965,3742.0,19704.0,4311.0,19995.0,3471.0,20884.0,28a94295a090f24e443f2d252b023381603f14ffb2377f65b6be6020665e3e9a,True,100,7
b2,b2-k6-impeqv_dom-tree-4-07d0d6da2af7,6,6,impeqv_dom,tree,flat,3824.0,17979.0,4297.0,3770.0,0.8899232022341168,4.184081917616942,1.0143236074270556,4.768965517241379,1.139787798408488,3670.0,19435.0,4141.0,20125.0,3569.0,19221.0,8f70d951764efc3a27090723594ff891fe9fb6f0f120509230ab0b05e930f6b6,True,100,7
b2,b2-k6-impeqv_dom-shared-1-f68095cd3ba2,6,6,impeqv_dom,shared,flat,6994.0,20423.0,7072.0,7293.0,0.9889705882352942,2.8878676470588234,0.9590017825311943,2.800356506238859,0.9696969696969697,6696.0,44417.0,7360.0,45326.0,8267.0,52179.0,456fa9ee42dce63c64416e513d4e929a4ee3caabd2db6c1d980b63123ef8151d,True,100,7
b2,b2-k6-impeqv_dom-shared-2-22089ede1135,6,6,impeqv_dom,shared,flat,5503.0,19006.0,6309.0,7495.0,0.8722459977809478,3.0125217942621654,0.7342228152101401,2.5358238825883923,0.8417611741160774,5259.0,33312.0,6266.0,37071.0,7285.0,49872.0,da5dc6f3940660a47e580ca74507b1073a28fc8818f12f7901782e7f17c39b91,True,100,7
b2,b2-k6-impeqv_dom-shared-3-32d1a4c2066e,6,6,impeqv_dom,shared,flat,6005.0,19874.0,6893.0,8623.0,0.8711736544320325,2.8832148556506603,0.6963933665777572,2.3047663226255364,0.7993737678302215,6198.0,35906.0,7643.0,40138.0,8765.0,55672.0,ea0d9f4b80c89400af7c42e36ca3620d6893ac17c46c1fe18b9f59bbc42433b8,True,100,7
b2,b2-k6-impeqv_dom-shared-4-3e4e99468c60,6,6,impeqv_dom,shared,flat,6657.0,21634.0,9406.0,10181.0,0.7077397405911121,2.300021263023602,0.6538650427266477,2.124938611138395,0.9238778116098615,6364.0,39957.0,7424.0,41610.0,8294.0,53193.0,f6b41ca15f86f66da7370a58a52c273cdddd507c80b432acf9de9d69ab5f6e54,True,100,7
b2,b2-k6-mixed-tree-1-9ecccc175ad2,6,6,mixed,tree,flat,3604.0,16039.0,3968.0,3219.0,0.9082661290322581,4.042086693548387,1.1196023609816714,4.98260329294812,1.232680956818888,3267.0,22370.0,5109.0,16589.0,2801.0,17643.0,cc748c8dd498ebf4ba264da58e9b3b3c3cd35ba8a8d734c934c91675c283fc04,True,100,7
b2,b2-k6-mixed-tree-2-40b1238ea748,6,6,mixed,tree,flat,3383.0,16254.0,3588.0,3016.0,0.9428651059085842,4.530100334448161,1.121684350132626,5.389257294429708,1.1896551724137931,3599.0,14663.0,3650.0,14371.0,3163.0,15368.0,50b964a05d1cc7f170c8e535883101b324eeedb8ca72b9b15fb11465c0efdc4c,True,100,7
b2,b2-k6-mixed-tree-3-aeb0c639e3f5,6,6,mixed,tree,flat,2695.0,16749.0,3079.0,2499.0,0.8752841831763559,5.439753166612537,1.0784313725490196,6.702280912364946,1.2320928371348538,2613.0,12554.0,3110.0,12129.0,2371.0,12260.0,70502cbecab45d272c4e30db55dde2af39dabf59ea4cb5b06c13d6335e5470af,True,100,7
b2,b2-k6-mixed-tree-4-987f3c678ab0,6,6,mixed,tree,flat,3529.0,17103.0,3896.0,3399.0,0.9058008213552361,4.3898870636550305,1.038246543100912,5.031774051191527,1.1462194763165636,3366.0,16432.0,3798.0,16743.0,3014.0,15801.0,4506d091ec25797f922490bd81243c8f7290dc8a6844c6537f3e46dd4720faf9,True,100,7
b2,b2-k6-mixed-shared-1-bf5809ef3c65,6,6,mixed,shared,flat,3972.0,16059.0,4512.0,9036.0,0.8803191489361702,3.5591755319148937,0.4395750332005312,1.7772244355909694,0.49933598937583,4247.0,23852.0,4738.0,23841.0,9294.0,68198.0,d80e470e33e534894d3e5df0e299031a7e9f0ac845d9035403c74342fad902d2,True,100,7
b2,b2-k6-mixed-shared-2-33593cbc9843,6,6,mixed,shared,flat,5551.0,19535.0,6233.0,6585.0,0.8905823840847105,3.1341248195090645,0.8429764616552772,2.9665907365223996,0.9465451784358391,5966.0,38566.0,7445.0,44684.0,7376.0,49432.0,991201b381b64d183be8d60df0a5b23afa16a6c4f1747ae0fafc957a288b8155,True,100,7
b2,b2-k6-mixed-shared-3-a377b00385d6,6,6,mixed,shared,flat,9866.0,33161.0,10449.0,15163.0,0.944205187099244,3.173605129677481,0.6506627975994196,2.1869682780452417,0.689111653366748,5551.0,44356.0,5896.0,34304.0,8637.0,60819.0,5683fd468752a8eebd3fecdf82e47864ac13a8699d5fe2495930fb25fa755b75,True,100,7
b2,b2-k6-mixed-shared-4-d71d1df79e0f,6,6,mixed,shared,flat,4523.0,17066.0,5899.0,8102.0,0.7667401254449907,2.8930327174097306,0.5582572204393976,2.106393483090595,0.7280918291779808,4280.0,21825.0,6046.0,31245.0,7968.0,49339.0,649807f9b389602dad3c9be515538cf94aea9d5cc3dfb85d443ffc48f9d24360,True,100,7
b2,b2-k8-xor_dom-tree-1-e3305253a197,8,8,xor_dom,tree,flat,4254.0,16404.0,4099.0,3587.0,1.037814101000244,4.001951695535497,1.185949261221076,4.573180931140229,1.1427376637858935,3676.0,12986.0,3907.0,13207.0,3277.0,14298.0,46af8650e56cb3d8316990197ae711b02c6005066cac2953e04fc0ca70015a55,True,100,7
b2,b2-k8-xor_dom-tree-2-13ed19191907,8,8,xor_dom,tree,flat,3900.0,18985.0,4141.0,3833.0,0.941801497222893,4.584641390968365,1.0174797808505087,4.953039394729976,1.0803548134620402,3588.0,14797.0,4054.0,14960.0,3815.0,16447.0,e1816aca7b95dbe067940f525f729f06e1e3535d98b933099d96513ab738a3bc,True,100,7
b2,b2-k8-xor_dom-tree-3-6411e7a81de6,8,8,xor_dom,tree,flat,3867.0,16523.0,4092.0,4008.0,0.9450146627565983,4.037878787878788,0.9648203592814372,4.12250499001996,1.0209580838323353,3689.0,14638.0,4283.0,15108.0,3651.0,16338.0,e3b16859071e39ef7e23d1c58adf4b4d9f7bd4834a5d7fb37c7e5bd4ffc3bf12,True,100,7
b2,b2-k8-xor_dom-tree-4-c77ef7ea382c,8,8,xor_dom,tree,flat,3618.0,14953.0,3883.0,3103.0,0.9317537986093227,3.850888488282256,1.1659684176603287,4.81888495004834,1.251369642281663,3638.0,13125.0,4169.0,13444.0,3201.0,14125.0,64256c18b54a69684f950bf04e330c2a5d4ff3ee20ae16427bd89a85344dbdf6,True,100,7
b2,b2-k8-xor_dom-shared-1-39a6b403d2d3,8,8,xor_dom,shared,flat,4553.0,18230.0,5193.0,6433.0,0.8767571731176584,3.5104948969766996,0.7077568785947458,2.83382558681797,0.8072438986475983,4356.0,18200.0,5110.0,20997.0,6255.0,34518.0,969e55e56254cb0c53aae5eaf2bf2ae32c59ac1ba8cda5ed517b46ff3a91b000,True,100,7
b2,b2-k8-xor_dom-shared-2-13d2013b2012,8,8,xor_dom,shared,flat,3822.0,22489.0,5176.0,7965.0,0.7384080370942813,4.344860896445131,0.47984934086629,2.823477715003139,0.6498430634023854,3095.0,9457.0,3860.0,17581.0,4946.0,27411.0,c685e7aa0cf19a6f715b097a9d3252953f12dde3bf98a0f43deef53ac6245c78,True,100,7
