n_vars,trial,expr_style,operator_pair_style,operator_diff_mode,operator_a,operator_b,quotient_a_minus_b_name,quotient_b_minus_a_name,symmetric_delta_name,overlap_name,same_operator,basis_vars,row_vars,col_vars,basis_aligned,basis_alignment_note,dense_shape,dense_elements,quotient_a_minus_b_matrix,quotient_b_minus_a_matrix,symmetric_delta_matrix,cm_quotient_a_minus_b_time_s,cm_quotient_b_minus_a_time_s,cm_symmetric_delta_time_s,cm_quotient_total_time_s,features_a,features_b,overlap_features,a_minus_b_features,b_minus_a_features,symmetric_delta_features,a_contains_b,b_contains_a,jaccard_features,semantic_delta_density,semantic_equivalent,structural_same,opdiff_semantic_equivalent,opdiff_structural_same
2,31,operator_table_2x2,operator_table_2x2,cm_quotient,FALSE,NOT_L,FALSE,NOT_L,NOT_L,FALSE,False,"X,Y","X,!X","Y,!Y",True,"2x2 canonical rows X,!X and columns Y,!Y",2x2,4,00;00,00;11,00;11,0.0,0.0,0.0,0.0,0,2,0,0,2,2,False,True,0.0,,False,False,False,False
2,32,operator_table_2x2,operator_table_2x2,cm_quotient,EQV,TRUE,FALSE,XOR,XOR,EQV,False,"X,Y","X,!X","Y,!Y",True,"2x2 canonical rows X,!X and columns Y,!Y",2x2,4,00;00,01;10,01;10,0.0,0.0,0.0,0.0,2,4,2,0,2,2,False,True,0.5,,False,False,False,False
2,33,operator_table_2x2,operator_table_2x2,cm_quotient,EQV,FALSE,EQV,FALSE,EQV,FALSE,False,"X,Y","X,!X","Y,!Y",True,"2x2 canonical rows X,!X and columns Y,!Y",2x2,4,10;01,00;00,10;01,0.0,0.0,0.0,0.0,2,0,0,2,0,2,True,False,0.0,,False,False,False,False
2,34,operator_table_2x2,operator_table_2x2,cm_quotient,EQV,EQV,FALSE,FALSE,FALSE,EQV,True,"X,Y","X,!X","Y,!Y",True,"2x2 canonical rows X,!X and columns Y,!Y",2x2,4,00;00,00;00,00;00,0.0,0.0,0.0,0.0,2,2,2,0,0,0,True,True,1.0,,True,True,True,True
2,35,operator_table_2x2,operator_table_2x2,cm_quotient,EQV,XOR,EQV,XOR,TRUE,FALSE,False,"X,Y","X,!X","Y,!Y",True,"2x2 canonical rows X,!X and columns Y,!Y",2x2,4,10;01,01;10,11;11,0.0,0.0,0.0,0.0,2,2,0,2,2,4,False,False,0.0,,False,False,False,False
2,36,operator_table_2x2,operator_table_2x2,cm_quotient,EQV,AND,NOR,FALSE,NOR,AND,False,"X,Y","X,!X","Y,!Y",True,"2x2 canonical rows X,!X and columns Y,!Y",2x2,4,00;01,00;00,00;01,0.0,0.0,0.0,0.0,2,1,1,1,0,1,True,False,0.5,,False,False,False,False
2,37,operator_table_2x2,operator_table_2x2,cm_quotient,EQV,NOR,AND,FALSE,AND,NOR,False,"X,Y","X,!X","Y,!Y",True,"2x2 canonical rows X,!X and columns Y,!Y",2x2,4,10;00,00;00,10;00,0.0,0.0,0.0,0.0,2,1,1,1,0,1,True,False,0.5,,False,False,False,False
2,38,operator_table_2x2,operator_table_2x2,cm_quotient,EQV,X_AND_NOT_Y,EQV,X_AND_NOT_Y,RIMP,FALSE,False,"X,Y","X,!X","Y,!Y",True,"2x2 canonical rows X,!X and columns Y,!Y",2x2,4,10;01,01;00,11;01,0.0,0.0,0.0,0.0,2,1,0,2,1,3,False,False,0.0,,False,False,False,False
2,39,operator_table_2x2,operator_table_2x2,cm_quotient,EQV,NOT_X_AND_Y,EQV,NOT_X_AND_Y,IMP,FALSE,False,"X,Y","X,!X","Y,!Y",True,"2x2 canonical rows X,!X and columns Y,!Y",2x2,4,10;01,00;10,10;11,0.0,0.0,0.0,0.0,2,1,0,2,1,3,False,False,0.0,,False,False,False,False
2,40,operator_table_2x2,operator_table_2x2,cm_quotient,EQV,IMP,FALSE,NOT_X_AND_Y,NOT_X_AND_Y,EQV,False,"X,Y","X,!X","Y,!Y",True,"2x2 canonical rows X,!X and columns Y,!Y",2x2,4,00;00,00;10,00;10,0.0,0.0,0.0,0.0,2,3,2,0,1,1,False,True,0.6666666666666666,,False,False,False,False
2,41,operator_table_2x2,operator_table_2x2,cm_quotient,EQV,RIMP,FALSE,X_AND_NOT_Y,X_AND_NOT_Y,EQV,False,"X,Y","X,!X","Y,!Y",True,"2x2 canonical rows X,!X and columns Y,!Y",2x2,4,00;00,01;00,01;00,0.0,0.0,0.0,0.0,2,3,2,0,1,1,False,True,0.6666666666666666,,False,False,False,False
2,42,operator_table_2x2,operator_table_2x2,cm_quotient,EQV,OR,NOR,XOR,NAND,AND,False,"X,Y","X,!X","Y,!Y",True,"2x2 canonical rows X,!X and columns Y,!Y",2x2,4,00;01,01;10,01;11,0.0,0.0,0.0,0.0,2,3,1,1,2,3,False,False,0.25,,False,False,False,False
2,43,operator_table_2x2,operator_table_2x2,cm_quotient,EQV,NAND,AND,XOR,OR,NOR,False,"X,Y","X,!X","Y,!Y",True,"2x2 canonical rows X,!X and columns Y,!Y",2x2,4,10;00,01;10,11;10,0.0,0.0,0.0,0.0,2,3,1,1,2,3,False,False,0.25,,False,False,False,False
2,44,operator_table_2x2,operator_table_2x2,cm_quotient,EQV,R,NOR,NOT_X_AND_Y,NOT_L,AND,False,"X,Y","X,!X","Y,!Y",True,"2x2 canonical rows X,!X and columns Y,!Y",2x2,4,00;01,00;10,00;11,0.0,0.0,0.0,0.0,2,2,1,1,1,2,False,False,0.3333333333333333,,False,False,False,False
2,45,operator_table_2x2,operator_table_2x2,cm_quotient,EQV,NOT_R,AND,X_AND_NOT_Y,L,NOR,False,"X,Y","X,!X","Y,!Y",True,"2x2 canonical rows X,!X and columns Y,!Y",2x2,4,10;00,01;00,11;00,0.0,0.0,0.0,0.0,2,2,1,1,1,2,False,False,0.3333333333333333,,False,False,False,False
2,46,operator_table_2x2,operator_table_2x2,cm_quotient,EQV,L,NOR,X_AND_NOT_Y,NOT_R,AND,False,"X,Y","X,!X","Y,!Y",True,"2x2 canonical rows X,!X and columns Y,!Y",2x2,4,00;01,01;00,01;01,0.0,0.0,0.0,0.0,2,2,1,1,1,2,False,False,0.3333333333333333,,False,False,False,False
2,47,operator_table_2x2,operator_table_2x2,cm_quotient,EQV,NOT_L,AND,NOT_X_AND_Y,R,NOR,False,"X,Y","X,!X","Y,!Y",True,"2x2 canonical rows X,!X and columns Y,!Y",2x2,4,10;00,00;10,10;10,0.0,0.0,0.0,0.0,2,2,1,1,1,2,False,False,0.3333333333333333,,False,False,False,False
2,48,operator_table_2x2,operator_table_2x2,cm_quotient,XOR,TRUE,FALSE,EQV,EQV,XOR,False,"X,Y","X,!X","Y,!Y",True,"2x2 canonical rows X,!X and columns Y,!Y",2x2,4,00;00,10;01,10;01,0.0,0.0,0.0,0.0,2,4,2,0,2,2,False,True,0.5,,False,False,False,False
