n_vars,round,order,null_backend_total_s,trace_backend_total_s,null_wrapper_total_s,trace_wrapper_total_s,trace_over_null_ratio,trace_minus_null_s,exact_match
8,19,trace-null,0.00043180002830922604,0.0004393000272102654,0.0004366000066511333,0.0004455000162124634,1.0203848131602107,8.90000956133008e-06,True
8,20,null-trace,0.0004457999602891505,0.0004381999606266618,0.00045059999683871865,0.0004440000047907233,0.9853528803943653,-6.599992047995329e-06,True
8,21,trace-null,0.000437700015027076,0.00044020003406330943,0.0004422999918460846,0.0004458000184968114,1.0079132414995493,3.500026650726795e-06,True
8,22,null-trace,0.0004273999948054552,0.0004407000378705561,0.00043209997238591313,0.00045330001739785075,1.0490628242692959,2.1200045011937618e-05,True
8,23,trace-null,0.0004363999469205737,0.00043789995834231377,0.0004412999842315912,0.000443600001744926,1.0052119138806217,2.300017513334751e-06,True
8,24,null-trace,0.0004254999803379178,0.0004799999878741801,0.00042999995639547706,0.00048640003660693765,1.1311629905366516,5.640008021146059e-05,True
8,25,trace-null,0.00045779999345541,0.00043160002678632736,0.0004627000307664275,0.00043750001350417733,0.9455370313667188,-2.5200017262250185e-05,True
8,26,null-trace,0.00044780003372579813,0.00044730002991855145,0.00045250001130625606,0.00045330001739785075,1.0017679692190178,8.00006091594696e-07,True
8,27,trace-null,0.00044219999108463526,0.0004360000020824373,0.00044679996790364385,0.00044159998651593924,0.9883617239005128,-5.199981387704611e-06,True
8,28,null-trace,0.0004450000124052167,0.00042990001384168863,0.00044979999074712396,0.0004352999967522919,0.9677634631100206,-1.4499993994832039e-05,True
8,29,trace-null,0.0004543000250123441,0.0004746000049635768,0.0004589000018313527,0.00048049999168142676,1.0470690559247635,2.1599989850074053e-05,True
8,30,null-trace,0.00045549997594207525,0.0004372000112198293,0.0004607000155374408,0.0004430999979376793,0.9617972281176728,-1.7600017599761486e-05,True
8,31,trace-null,0.0004376999568194151,0.0004362999461591244,0.00044269999489188194,0.00044169998727738857,0.9977411167245719,-1.00000761449337e-06,True
8,32,null-trace,0.00044189998880028725,0.00043100002221763134,0.00044649996561929584,0.0005466000293381512,1.2241882898692198,0.00010010006371885538,True
8,33,trace-null,0.00043489999370649457,0.0004646000452339649,0.00043979997280985117,0.0004711000365205109,1.071168862314124,3.130006371065974e-05,True
8,34,null-trace,0.0004273999948054552,0.00043840002035722136,0.00043209997238591313,0.000444200006313622,1.0280028574426805,1.2100033927708864e-05,True
8,35,trace-null,0.00043379998533055186,0.00043100002221763134,0.0004384999629110098,0.00043670000741258264,0.9958951980600453,-1.7999554984271526e-06,True
8,36,null-trace,0.00043120002374053,0.0004335999838076532,0.00043590000132098794,0.00043920002644881606,1.0075706013255963,3.300025127828121e-06,True
8,37,trace-null,0.0004317999701015651,0.0004358000005595386,0.0004364000051282346,0.0004412000416778028,1.01099916703291,4.800036549568176e-06,True
8,38,null-trace,0.00043340004049241543,0.0004270999925211072,0.0004382000188343227,0.00043269997695460916,0.9874485585501697,-5.500041879713535e-06,True
8,39,trace-null,0.000430900021456182,0.00043260003440082073,0.0004354999982751906,0.00043810001807287335,1.0059701947370383,2.600019797682762e-06,True
8,40,null-trace,0.00043159996857866645,0.00042799999937415123,0.0004363000043667853,0.00043349998304620385,0.993582348630399,-2.800021320581436e-06,True
8,41,trace-null,0.00043180002830922604,0.00043839996214956045,0.0004364000051282346,0.0004476999747566879,1.0258936056270962,1.1299969628453255e-05,True
8,42,null-trace,0.0004295000107958913,0.0005474999779835343,0.0004340999876148999,0.0005555999814532697,1.2798894201908046,0.00012149999383836985,True
8,43,trace-null,0.0005711999838240445,0.00048420001985505223,0.0005792999872937799,0.0004912000149488449,0.847919947734684,-8.809997234493494e-05,True
8,44,null-trace,0.000492399965878576,0.0006021999870426953,0.000498599954880774,0.0006105999927967787,1.2246290574630843,0.00011200003791600466,True
8,45,trace-null,0.0005822000093758106,0.00047670002095401287,0.0005884999991394579,0.00048400001833215356,0.8224299388953086,-0.00010449998080730438,True
8,46,null-trace,0.00045110000064596534,0.00043299997923895717,0.0004570000455714762,0.0004395999712869525,0.961925442999103,-1.7400074284523726e-05,True
8,47,trace-null,0.0004301000153645873,0.0004322999739088118,0.00043510005343705416,0.0004387999651953578,1.008503588379446,3.6999117583036423e-06,True
8,48,null-trace,0.0004317000275477767,0.000430900021456182,0.00043620000360533595,0.0005584000027738512,1.280146717465594,0.0001221999991685152,True
8,49,trace-null,0.0004408999811857939,0.0004518000059761107,0.0004459000192582607,0.00045819999650120735,1.0275846080101256,1.2299977242946625e-05,True
8,50,null-trace,0.00043210003059357405,0.0004358000005595386,0.0004366000066511333,0.00044159998651593924,1.0114520838035652,4.999979864805937e-06,True
8,51,trace-null,0.00043489999370649457,0.0004287000047042966,0.00043970003025606275,0.0004340999876148999,0.9872639475646575,-5.600042641162872e-06,True
8,52,null-trace,0.0004381999606266618,0.0004358000005595386,0.0004428999964147806,0.0004412999842315912,0.9963874188391482,-1.600012183189392e-06,True
8,53,trace-null,0.00043000001460313797,0.00043539999751374125,0.0004351999959908426,0.00044109998270869255,1.013556954899361,5.89998671784997e-06,True
8,54,null-trace,0.0004414999857544899,0.00043260003440082073,0.0004463999648578465,0.00044130004243925214,0.988575441711295,-5.09992241859436e-06,True
8,55,trace-null,0.00042919995030388236,0.00043979997280985117,0.0004340999876148999,0.00044620002154260874,1.0278738407577268,1.2100033927708864e-05,True
8,56,null-trace,0.00043239997467026114,0.0004257000400684774,0.00043700000969693065,0.00043160002678632736,0.9876430599753343,-5.399982910603285e-06,True
8,57,trace-null,0.0004393000272102654,0.00042990001384168863,0.00044410000555217266,0.0004387999651953578,0.9880656602329355,-5.300040356814861e-06,True
8,58,null-trace,0.000431500026024878,0.00043860002188012004,0.00043620000360533595,0.00044440000783652067,1.018798725729961,8.200004231184721e-06,True
8,59,trace-null,0.0004626000300049782,0.0004476999747566879,0.0004675000091083348,0.0004536999622359872,0.970481183735871,-1.3800046872347593e-05,True
8,60,null-trace,0.00044319999869912863,0.00044350000098347664,0.00044789997627958655,0.0004495999892242253,1.003795519166488,1.700012944638729e-06,True
8,61,trace-null,0.00043969997204840183,0.0004343999898992479,0.0004444999503903091,0.00044020003406330943,0.9903263963849176,-4.299916326999664e-06,True
8,62,null-trace,0.00043130002450197935,0.0004276999970898032,0.0004361000028438866,0.0004332999815233052,0.9935794054062784,-2.800021320581436e-06,True
8,63,trace-null,0.00043029995867982507,0.00043260003440082073,0.00043479999294504523,0.0004387000226415694,1.0089697096591652,3.900029696524143e-06,True
8,64,null-trace,0.00044109998270869255,0.0004295000107958913,0.00044549995800480247,0.0005393000319600105,1.2105501297358077,9.380007395520806e-05,True
8,65,trace-null,0.0004314000252634287,0.00045280001359060407,0.0004361000028438866,0.00045900000259280205,1.0525108910790655,2.2899999748915434e-05,True
8,66,null-trace,0.0004314000252634287,0.0004251999780535698,0.0004360000020824373,0.00043070001993328333,0.9878440776976146,-5.299982149153948e-06,True
8,67,trace-null,0.00044059997890144587,0.00043530005495995283,0.0004452999564819038,0.0004412000416778028,0.9907929144289787,-4.09991480410099e-06,True
8,68,null-trace,0.00042940001003444195,0.00043559999903663993,0.00043399998685345054,0.00044130004243925214,1.0168204050850964,7.300055585801601e-06,True
8,69,trace-null,0.00043000001460313797,0.00042560003930702806,0.0004346999921835959,0.00043109996477141976,0.9917183632921354,-3.600027412176132e-06,True
8,70,null-trace,0.0004251999780535698,0.00042910000775009394,0.00042990001384168863,0.0004346999921835959,1.011165336560503,4.799978341907263e-06,True
8,71,trace-null,0.00042970001231878996,0.00042830000165849924,0.0004341999883763492,0.0004338999860920012,0.999309068879827,-3.00002284348011e-07,True
8,72,null-trace,0.0004346999921835959,0.0004311000229790807,0.0004390999674797058,0.00043680000817403197,0.994762105497582,-2.2999593056738377e-06,True
8,73,trace-null,0.00043729995377361774,0.00043979997280985117,0.0004420999903231859,0.0004456000169739127,1.0079168213692296,3.500026650726795e-06,True
8,74,null-trace,0.00043429998913779855,0.000430900021456182,0.00043889996595680714,0.00043680000817403197,0.9952154068223787,-2.0999577827751637e-06,True
