role,schedule,representation,window,rows,measured_comparable,statuses,legacy,candidate
heldout-structural,cold,bigint,evaluation_packed_whole_call,6,6,"{""ok"": 6}","{""underestimates"": 6, ""max_peak_over_estimate"": 9.5, ""median_peak_over_estimate"": 6.052083333333333, ""max_estimate_over_peak"": 0.384, ""estimate_over_peak_distribution"": [0.10526315789473684, 0.10526315789473684, 0.10526315789473684, 0.384, 0.384, 0.384]}","{""underestimates"": 0, ""max_peak_over_estimate"": 0.040796344647519585, ""median_peak_over_estimate"": 0.03830433909286449, ""max_estimate_over_peak"": 27.9233409610984, ""estimate_over_peak_distribution"": [24.511999999999997, 24.511999999999997, 24.511999999999997, 27.9233409610984, 27.9233409610984, 27.9233409610984]}"
heldout-structural,cold,bigint,conversion_packed_to_uint8,6,0,"{""ok"": 6}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}"
heldout-structural,cold,bigint,serialization_dense_json,6,0,"{""ok"": 6}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}"
heldout-structural,warm,bigint,preparation_compile_and_lower,6,0,"{""ok"": 6}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}"
heldout-structural,warm,bigint,evaluation_packed_whole_call,6,6,"{""ok"": 6}","{""underestimates"": 6, ""max_peak_over_estimate"": 3.4347826086956523, ""median_peak_over_estimate"": 2.267391304347826, ""max_estimate_over_peak"": 0.9090909090909091, ""estimate_over_peak_distribution"": [0.2911392405063291, 0.2911392405063291, 0.2911392405063291, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091]}","{""underestimates"": 0, ""max_peak_over_estimate"": 0.01723237597911227, ""median_peak_over_estimate"": 0.015090271169232432, ""max_estimate_over_peak"": 77.23101265822785, ""estimate_over_peak_distribution"": [58.03030303030303, 58.03030303030303, 58.03030303030303, 77.23101265822785, 77.23101265822785, 77.23101265822785]}"
heldout-structural,warm,bigint,conversion_packed_to_uint8,6,0,"{""ok"": 6}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}"
heldout-structural,warm,bigint,serialization_dense_json,6,0,"{""ok"": 6}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}"
heldout-structural,cold,words,preparation_compile_and_lower,6,0,"{""ok"": 6}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}"
heldout-structural,cold,words,evaluation_packed_whole_call,6,6,"{""ok"": 6}","{""underestimates"": 6, ""max_peak_over_estimate"": 33.66847826086956, ""median_peak_over_estimate"": 21.01184329710145, ""max_estimate_over_peak"": 0.11968582471013589, ""estimate_over_peak_distribution"": [0.029701372074253433, 0.029701372074253433, 0.029701372074253433, 0.11968582471013589, 0.11968582471013589, 0.11968582471013589]}","{""underestimates"": 0, ""max_peak_over_estimate"": 0.12509357454772302, ""median_peak_over_estimate"": 0.12285636671311384, ""max_estimate_over_peak"": 8.290556900726392, ""estimate_over_peak_distribution"": [7.994015708764493, 7.994015708764493, 7.994015708764493, 8.290556900726392, 8.290556900726392, 8.290556900726392]}"
heldout-structural,cold,words,conversion_packed_to_uint8,6,0,"{""ok"": 6}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}"
heldout-structural,cold,words,serialization_dense_json,6,0,"{""ok"": 6}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}"
heldout-structural,warm,words,preparation_compile_and_lower,6,0,"{""ok"": 6}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}"
heldout-structural,warm,words,evaluation_packed_whole_call,6,6,"{""ok"": 6}","{""underestimates"": 3, ""max_peak_over_estimate"": 2.9402173913043477, ""median_peak_over_estimate"": 1.776879528985507, ""max_estimate_over_peak"": 1.6298811544991512, ""estimate_over_peak_distribution"": [0.3401109057301294, 0.3401109057301294, 0.3401109057301294, 1.6298811544991512, 1.6298811544991512, 1.6298811544991512]}","{""underestimates"": 0, ""max_peak_over_estimate"": 0.01053348909657321, ""median_peak_over_estimate"": 0.00985969526569147, ""max_estimate_over_peak"": 108.86247877758913, ""estimate_over_peak_distribution"": [94.93530499075784, 94.93530499075784, 94.93530499075784, 108.86247877758913, 108.86247877758913, 108.86247877758913]}"
heldout-structural,warm,words,conversion_packed_to_uint8,6,0,"{""ok"": 6}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}"
heldout-structural,warm,words,serialization_dense_json,6,0,"{""ok"": 6}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}","{""underestimates"": 0, ""max_peak_over_estimate"": null, ""median_peak_over_estimate"": null, ""max_estimate_over_peak"": null, ""estimate_over_peak_distribution"": []}"
